run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
numeric_digit_relaxed_20260929/generated_synthetic_20261012,3,53970,52402,135,133,0.6296674154920573,0.0,0.62577764207473,473,0.008764128219381138,437,0.008339376359680928
numeric_digit_relaxed_20260929/generated_synthetic_20261012,4,110395,116655,131,126,0.6333563038678198,0.0,0.6303373194462303,437,0.003958512613795914,432,0.003703227465603703
numeric_digit_relaxed_20260929/generated_validation_20261011,0,147,147,147,147,0.8639455782312924,0.0,0.54421768707483,12,0.08163265306122448,33,0.22448979591836735
numeric_digit_relaxed_20260929/generated_validation_20261011,1,4305,4322,147,147,0.6504392350725914,0.0,0.6189264229523369,143,0.03321718931475029,628,0.14530310041647385
numeric_digit_relaxed_20260929/generated_validation_20261011,2,9180,9161,135,135,0.6288664127247764,0.0,0.615216679401812,81,0.008823529411764706,293,0.03198340792489903
numeric_digit_relaxed_20260929/generated_validation_20261011,3,53970,53308,135,134,0.6304513070612376,0.0,0.6259660838898476,473,0.008764128219381138,495,0.009285660688827193
numeric_digit_relaxed_20260929/generated_validation_20261011,4,110395,132698,131,129,0.6322575233722507,0.0,0.6284420262551056,437,0.003958512613795914,2113,0.01592337488130944
numeric_digit_relaxed_20260929/generated_validation_20261012,0,147,147,147,147,0.8027210884353739,0.0,0.5238095238095238,12,0.08163265306122448,40,0.272108843537415
numeric_digit_relaxed_20260929/generated_validation_20261012,1,4305,4304,147,147,0.6498808876166298,0.0,0.6119888475836431,143,0.03321718931475029,813,0.18889405204460966
numeric_digit_relaxed_20260929/generated_validation_20261012,2,9180,9248,135,136,0.6373886646161732,0.0,0.6248918685121108,81,0.008823529411764706,757,0.08185553633217993
numeric_digit_relaxed_20260929/generated_validation_20261012,3,53970,54328,135,136,0.6307990960253311,0.0,0.6272272124871153,473,0.008764128219381138,1254,0.023082020321013107
numeric_digit_relaxed_20260929/generated_validation_20261012,4,110395,136106,131,133,0.6329884511921527,0.0,0.6303689771207736,437,0.003958512613795914,2903,0.021328964189675694
order_category_digit_relaxed_20260928/generated_validation_20261011,0,147,147,147,147,0.7959183673469385,0.0,0.2925170068027211,12,0.08163265306122448,63,0.42857142857142855
order_category_digit_relaxed_20260928/generated_validation_20261011,1,4305,4419,147,147,0.4154713609981605,0.0,0.30685675492192804,143,0.03321718931475029,925,0.2093233763294863
order_category_digit_relaxed_20260928/generated_validation_20261011,2,9180,9139,135,139,0.37571795420092635,0.0,0.31666484298063247,81,0.008823529411764706,401,0.043877885983149144
order_category_digit_relaxed_20260928/generated_validation_20261011,3,53970,52947,135,133,0.34803631596818585,0.0,0.3309158214818592,473,0.008764128219381138,312,0.005892685137968157
order_category_digit_relaxed_20260928/generated_validation_20261011,4,110395,127615,131,127,0.3415874800216652,0.0,0.3267876033381656,437,0.003958512613795914,613,0.004803510559103554
order_category_digit_relaxed_20260928/generated_validation_20261012,0,147,147,147,147,0.7414965986394556,0.0,0.3129251700680272,12,0.08163265306122448,62,0.4217687074829932
order_category_digit_relaxed_20260928/generated_validation_20261012,1,4305,4328,147,147,0.4155502564399819,0.0,0.30429759704251386,143,0.03321718931475029,1030,0.23798521256931607
order_category_digit_relaxed_20260928/generated_validation_20261012,2,9180,8898,135,136,0.37408186021093087,0.0,0.3209710047201618,81,0.008823529411764706,287,0.032254439199820184
order_category_digit_relaxed_20260928/generated_validation_20261012,3,53970,51127,135,128,0.3471924971599658,0.0,0.3278306961096876,473,0.008764128219381138,186,0.0036379994914624366
