run,real_events,generated_events,real_customers,generated_customers,invalid_amount_rate,invalid_gap_rate,merchant_category_tv,category_amount_tv,gap_previous_category_category_tv,history_amount_tv,category_tv,merchant_tv,amount_tv,gap_tv,real_fraud_rate,generated_fraud_rate,real_frauds,generated_frauds,invalid_generated_label_rate,label_tv,history_amount_label_tv,class_0_category_amount_tv,class_0_gap_previous_category_category_tv,class_0_history_amount_tv,class_1_category_amount_tv,class_1_gap_previous_category_category_tv,class_1_history_amount_tv,class_0_merchant_tv,class_0_merchant_category_tv,class_0_gap_category_amount_history_tv,class_1_merchant_tv,class_1_merchant_category_tv,class_1_gap_category_amount_history_tv,previous_current_fraud_tv,fraud_previous_category_current_category_tv,fraud_onset_events,real_fraud_onset_events,fraud_onset_category_amount_tv,fraud_onset_history_amount_tv,fraud_continuation_events,real_fraud_continuation_events,fraud_continuation_category_amount_tv,fraud_continuation_history_amount_tv,previous_fraud_fraud_rate,previous_normal_fraud_rate,positive_gap_le_5s_fraud_rate,positive_gap_le_300s_fraud_rate,short_sequence_le_100_RETROSPECTIVE_fraud_rate,fraud_amount_generated_mean,fraud_amount_ks_distance,fraud_amount_wasserstein_log1p,fraud_gap_seconds_generated_mean,fraud_gap_seconds_ks_distance,fraud_gap_seconds_wasserstein_log1p,fraud_amount_history_ratio_generated_mean,fraud_amount_history_ratio_ks_distance,fraud_amount_history_ratio_wasserstein_log1p,model
order_category_relaxed_20260929/generated_validation_20261011,174879,209394,143,143,0.0,0.0,0.1533851367881258,0.1053177446034456,0.1460724673869186,0.0548292622149741,0.0582242350090894,0.1113036827668759,0.0391522849933271,0.0394516326600695,0.0063758370073021,0.0069056419954726,1115,1446,0.0,0.0005298049881704,0.0587031937245345,0.1054864418415266,0.1465060139375292,0.0565293946004773,0.3247505345687811,0.4159539082917557,0.3655856497980518,0.1118391608356587,0.1536681793617229,0.1637185018286421,0.4437272450985864,0.4681260815362,0.5897333095747208,0.0005896055699765,0.2533262057495842,125,100,0.796,0.6599999999999999,1278,1004,0.2962344674510098,0.3574793159131861,0.8881167477414872,0.000601505206629,0.0166666666666666,0.024793388429752,0.6153846153846154,3581.4936514522824,0.4136303022409119,1.0205691019710303,24766.43549536707,0.1032014730339748,0.2284731861643105,18.280768193672145,0.3350539738845907,0.751655814507169,ARGN AUTO + category first
order_category_relaxed_20260929/generated_validation_20261012,174879,190828,143,143,0.0,0.0,0.1545835266969847,0.1032919700615246,0.1421984484911538,0.0384220812183502,0.0574093908539262,0.1112819105382956,0.0367787002836944,0.0246563762883052,0.0063758370073021,0.0060473305804179,1115,1154,0.0,0.0003285064268842,0.0419099554348137,0.1032422648529025,0.1423991239526361,0.0398952031615494,0.3366781905543186,0.4221820188288605,0.3393467518262432,0.1118401016804904,0.1549180281863673,0.1553970782596082,0.4232554344024683,0.4515733926059485,0.608307453416149,0.0004963155823424,0.2776939528887847,112,100,0.7767857142857143,0.5835714285714286,1001,1004,0.2928416205308636,0.346334939960438,0.8773006134969326,0.0005908918245895,0.0188679245283018,0.0218953130345535,0.756,3421.845649913345,0.4124480263618064,0.9653725895986064,26155.46900269542,0.0762798351498105,0.1882354317831416,19.388366403508773,0.303142670079162,0.7006248080157247,ARGN AUTO + category first
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,174879,187743,143,143,0.0,0.0,0.6523563837401085,0.1812352688522591,0.1247144753881774,0.0335350081312317,0.0464448702629997,0.096563928360848,0.0493401598880591,0.0142870550839143,0.0063758370073021,0.0032651017614504,1115,613,0.0,0.0031107352458517,0.0361229218943753,0.1809543778313787,0.1244404934868486,0.0335934692840564,0.4335058366721077,0.4716173270020281,0.5089497699955483,0.0964942695054948,0.652631884930077,0.2327032085521735,0.5218004520881645,0.7413133965866612,0.7883000692486521,0.0033737425929074,0.3256294207844883,141,100,0.8439716312056738,0.6865248226950355,445,1004,0.401470522404763,0.506866914365012,0.7379767827529021,0.0007540227918094,0.0,0.0155115511551155,0.3130193905817174,3359.222528548124,0.3840949824066013,1.3053714560458691,25240.598976109213,0.0914607755849038,0.2182622527902036,13.496735753497807,0.4847861909862404,0.9688483123008484,ARGN AUTO + fraud first
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,174879,182858,143,143,0.0,0.0,0.6545865418971869,0.1819751105596934,0.1228502672266691,0.0236975790213629,0.0412956328222217,0.0976145165890849,0.0481626258781469,0.0089839740986921,0.0063758370073021,0.0025101444836977,1115,459,0.0,0.0038656925236044,0.0261907647337209,0.1814276943077128,0.1223307624022786,0.0235435196631937,0.4724235104669887,0.4818840579710145,0.4563204508856682,0.0976128484610996,0.6548320728278154,0.2331779806238473,0.5524233809119063,0.7401369715798627,0.7246376811594202,0.0040601254662079,0.3138083735909823,124,100,0.8267741935483871,0.7190322580645161,308,1004,0.4021317328090237,0.4688389299943085,0.6859688195991092,0.0006803243610986,0.0,0.0051717768747691,0.5619834710743802,2640.4897821350764,0.3006535947712418,1.4793335161358605,27622.108796296296,0.2041062801932367,0.5714185708618946,36.2749688935368,0.4123757954672323,0.9077677553175368,ARGN AUTO + fraud first
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,174879,209394,143,143,0.0,0.0,0.4114785292074825,0.1659764631689265,0.1286736275711021,0.0573493947546319,0.0515083468401241,0.0925050803765654,0.0703681478613071,0.0325938398657699,0.0063758370073021,0.0036199700086917,1115,758,0.0,0.0027558669986104,0.060717450090371,0.1662994471645044,0.1287332652531414,0.0586514994421145,0.4525476006880598,0.4575103307827668,0.4518086284279415,0.0924615439345321,0.4115458574179555,0.2281928807519905,0.4993303122448738,0.6225244625341648,0.7288577317753129,0.0028177855536023,0.3206484666943472,101,100,0.8411881188118813,0.6716831683168317,632,1004,0.4347735639719602,0.4524181753996671,0.8426666666666667,0.0004844101467139,0.0,0.0155156677821721,0.8181818181818182,3626.946596306069,0.4252245110451151,1.0900425686948712,30119.87994542974,0.0741369594875141,0.1965494668399322,11.089362600096942,0.4428950471698114,0.8922366670382289,ARGN AUTO + fraud first
order_event_is_fraud_relaxed_20260929/generated_validation_20261012,174879,190828,143,143,0.0,0.0,0.4118121282130241,0.1643448238767039,0.1294906908146281,0.040325492281695,0.0537365776115373,0.0955576116178544,0.0662910881807946,0.0179424784310969,0.0063758370073021,0.0037520699268451,1115,716,0.0,0.002623767080457,0.0437420648512474,0.1645036669387946,0.129549042535093,0.041677777549349,0.4124640827198557,0.4464452379454267,0.453411092933996,0.0954068297562403,0.412000513945164,0.2238015010152551,0.4956822907533131,0.6162725154695994,0.7377579752092116,0.0027626904553337,0.3247262945951047,83,100,0.9077108433734938,0.7356626506024097,608,1004,0.3846128643321451,0.4337977039211574,0.8648648648648649,0.0004368834942257,0.0,0.0175816289917473,0.788,4026.087025139665,0.4395470601498109,1.0776248843243967,19684.5991316932,0.0740027055936575,0.1578588089164518,10.652882746966055,0.4314684167350287,0.8656943767739353,ARGN AUTO + fraud first
digit_relaxed_20260928/generated_validation_20261011,174879,188548,143,143,0.0,0.0,0.8539629166047902,0.2501414045092277,0.1134056036804912,0.0350638559520837,0.0370924933876219,0.1306943795389327,0.0258057797486162,0.0107728758855153,0.0063758370073021,0.0076956530962937,1115,1451,0.0,0.0013198160889916,0.037739710096405,0.2502329419038776,0.1133714380042554,0.0351130459735611,0.5922198846813153,0.41609396914446,0.4020453482935952,0.1306027115390484,0.8545781065436645,0.2798501267117765,0.4454413687174146,0.8145073909133332,0.7101488234377435,0.001750980186708,0.2225825931120461,185,100,0.8527027027027028,0.741891891891892,1210,1004,0.5594185242501071,0.3782242929110006,0.8391123439667129,0.0009895005963746,0.0465116279069767,0.0156774916013437,0.6068601583113457,2006.4440179186768,0.3243917137709265,1.4344397644143128,27149.21505376344,0.1628993299049399,0.4346068922638969,25.953847025939265,0.3915547532365515,0.8943734755886056,"ARGN gap DIGIT, cap relaxed"
digit_relaxed_20260928/generated_validation_20261012,174879,185803,143,143,0.0,0.0,0.8534092560399994,0.2525737149385952,0.1117453979395055,0.0345690310579637,0.0382917506138638,0.129532900538551,0.029345915825224,0.0102363021982628,0.0063758370073021,0.0093270829857429,1115,1733,0.0,0.0029512459784407,0.0382152857529869,0.2531418426705222,0.1116961742864805,0.0358316413821964,0.5798136645962733,0.4247929606625258,0.3719202898550724,0.1294073341003182,0.8539034063128157,0.2804429240563937,0.4322259282355954,0.8252973795409086,0.7036749482401656,0.0032898408164645,0.2414596273291925,169,100,0.8084023668639054,0.6579881656804736,1511,1004,0.5578559356221705,0.3639584613234685,0.8784883720930232,0.0009187778623464,0.0377358490566037,0.0253968253968253,0.63016157989228,2306.9450086555107,0.2803609179757749,1.338887024297847,25140.11904761905,0.1392080745341615,0.3498975991586746,22.75941996884004,0.3633247009495622,0.8465954526173473,"ARGN gap DIGIT, cap relaxed"
digit_relaxed_20260929/generated_validation_20261011,174879,192805,143,143,0.0,0.0,0.6579139234645113,0.1768215489826195,0.120982351424407,0.044745107610197,0.0430021144900597,0.1021846333177621,0.017461008937949,0.0098839478448907,0.0063758370073021,0.0094344026347864,1115,1819,0.0,0.0030585656274842,0.0477029788383682,0.1783176826862584,0.1216858616498324,0.0456419150051549,0.4344657072872014,0.3956807511737089,0.3520897121861604,0.1018615685229897,0.6583991593400655,0.2197869373953996,0.471169543212281,0.7031754992764466,0.6452827107572974,0.0030875018393353,0.2496688099612166,85,100,0.8088235294117646,0.6235294117647059,1690,1004,0.4206805912444895,0.339075650062472,0.9331860850358916,0.0004453736160669,0.108695652173913,0.0357643758765778,0.6748768472906403,3119.249829576691,0.3630393677105392,1.0910926898057454,17871.6861971831,0.0582180036742192,0.1649552642987037,17.448477259694414,0.3479866896209084,0.7627293369998814,"ARGN gap DIGIT, cap relaxed"
digit_relaxed_20260929/generated_validation_20261012,174879,176545,143,143,0.0,0.0,0.6579930714484825,0.1788463507210239,0.1260742114087726,0.0432848840421014,0.048910726451722,0.1000476827387932,0.017189759622585,0.0169308680559993,0.0063758370073021,0.0075957971055538,1115,1341,0.0,0.0012199600982516,0.0454869981592031,0.1798715955729527,0.1266794825191189,0.043468687917579,0.4505034675913577,0.4010958477816306,0.3421134524762159,0.0998748501151018,0.6584787017465864,0.2219815852098655,0.4752935196610521,0.7068755998301248,0.6358417800302303,0.0012272172380248,0.2115175157819863,79,100,0.840759493670886,0.6027848101265824,1225,1004,0.4321139930075616,0.3378372225384178,0.9210526315789472,0.0004512429171997,0.0285714285714285,0.0355590675622283,0.7346368715083799,2878.896517524236,0.3313884625288001,1.1024194594252623,19519.98619631902,0.0414221570196496,0.1491458514911101,22.589467724787774,0.3174689842336521,0.7478786284329344,"ARGN gap DIGIT, cap relaxed"
order_category_digit_relaxed_20260928/generated_validation_20261011,174879,188548,143,143,0.0,0.0,0.3397049600583071,0.1845070402214754,0.1154305406643791,0.0346461392382566,0.0347004160510704,0.1255220108806552,0.033773907616726,0.0121935604234469,0.0063758370073021,0.011816619640622,1115,2228,0.0,0.0054407826333198,0.0391036773156122,0.185139920287346,0.1154340135385821,0.0362049950941062,0.4723725614119567,0.4048750025079753,0.355157734930412,0.1262308524468157,0.3406679831829274,0.222030602264587,0.3979671687692716,0.4966098010643179,0.654860372651699,0.0058803822726399,0.2295186192090849,185,100,0.8318918918918919,0.6786486486486487,1982,1004,0.4452140981985278,0.3476557945815124,0.8927927927927928,0.0009936353626769,0.0263157894736842,0.0323871906841339,0.7018469656992085,3047.7993761220823,0.3568222621184919,1.1851952325984976,21965.811259806185,0.1206641285956006,0.3152679366800874,18.62751071130432,0.3455879550219172,0.7878425017469832,ARGN gap DIGIT + category first
order_category_digit_relaxed_20260928/generated_validation_20261012,174879,185803,143,143,0.0,0.0,0.3417839863354993,0.184091962024209,0.1138492091060135,0.0390732787436665,0.0330211940870682,0.1273175945002371,0.0350759335688373,0.0124337232574393,0.0063758370073021,0.0103066150708007,1115,1915,0.0,0.0039307780634986,0.0438085861376787,0.1848128134939297,0.1135986896918944,0.0410060395200995,0.495997402242275,0.4115400015625611,0.3564182194616977,0.1278013027709861,0.3422954596578087,0.2222497912492859,0.413209380744418,0.5307637368427215,0.6670304504082192,0.0042916721209996,0.2402838001484433,174,100,0.8578160919540231,0.697816091954023,1681,1004,0.4671095510877371,0.3553572740566585,0.8842714360862703,0.000946892397107,0.02,0.026957163958641,0.5601436265709157,2598.384229765013,0.3035417813111031,1.1927544707725843,25079.82425876011,0.1380737528809719,0.3648897195115723,21.99551154218098,0.3376201923076923,0.788207799724838,ARGN gap DIGIT + category first
order_category_digit_relaxed_20260929/generated_validation_20261011,174879,192805,143,143,0.0,0.0,0.2084021023179697,0.1631410543955994,0.1225222890944478,0.0438491034536999,0.0442280533675956,0.1087420473613509,0.0211371512197402,0.0083699286756942,0.0063758370073021,0.008848318249008,1115,1706,0.0,0.0024724812417059,0.0469444484486653,0.1637153673927283,0.1227391366945214,0.0446215459286915,0.3739715314652226,0.4256622066838407,0.3528687590908294,0.1090870285085544,0.2089169998670964,0.2064972802716974,0.4718913462903285,0.5102450333562893,0.6237831431926117,0.0025009824426717,0.2538531973432872,74,100,0.804864864864865,0.6513513513513514,1580,1004,0.3582581068132533,0.338859750869938,0.9305064782096584,0.0003875075930541,0.0961538461538461,0.0388962765957446,0.6748768472906403,2902.157579132473,0.3455275235386581,0.9070110743954412,19906.259975816203,0.0684900899006361,0.1845825562918386,13.798373525280764,0.3273712737127371,0.6715480334294858,ARGN gap DIGIT + category first
order_category_digit_relaxed_20260929/generated_validation_20261012,174879,176545,143,143,0.0,0.0,0.2082893895440182,0.1620775212501768,0.1240229393628859,0.040691226072943,0.0443363518231821,0.112054449929687,0.0233249961291758,0.0139909445820999,0.0063758370073021,0.0090231952193491,1115,1593,0.0,0.0026473582120469,0.0436177169647828,0.1625388468453271,0.1239442846545404,0.0411950382849116,0.4106328797932005,0.4237660628796998,0.3560470851180977,0.1123190839673748,0.20868855935386,0.2060636374949757,0.4475550263343833,0.4925759840558047,0.6488534346799557,0.0026841168196622,0.2788881034370129,80,100,0.8625,0.6874999999999999,1473,1004,0.3915857276934353,0.3422170111137257,0.9281663516068052,0.00045762663387,0.0232558139534883,0.0353034510115033,0.2346368715083799,3122.8061707470183,0.3534212178279975,1.0032781924219571,22041.96780424984,0.0695136575305393,0.1765710129175963,16.511703443650397,0.3465648440785101,0.73688208805718,ARGN gap DIGIT + category first
numeric_digit_relaxed_20260928/generated_validation_20261011,174879,162958,143,143,0.0,0.0,0.7648136032216403,0.1414568507076421,0.1408124121045173,0.0210765533889168,0.0647199597743781,0.1205550135397364,0.0519866729535705,0.0078273236004998,0.0063758370073021,0.0060383657138649,1115,984,0.0,0.0003374712934372,0.0244435311655466,0.1417584734948158,0.1411978791685875,0.0214719891578948,0.5156372730213002,0.4117901862033914,0.491599477891235,0.1204059354820011,0.7655067304746301,0.1935797769656122,0.5013225053775201,0.7402375223303802,0.7579038257173221,0.0005804390822517,0.2325992622710961,100,100,0.72,0.56,841,1004,0.5023319326735863,0.5047372933947918,0.8679050567595459,0.0006178713097636,0.032258064516129,0.028163427211424,0.5315126050420168,403.6001321138212,0.2311805023879835,0.4951764556644106,19399.60998937301,0.0763969104714381,0.2136638748918378,2.2407838408773206,0.5121593291404611,1.0862431281170033,"ARGN gap+amount DIGIT, cap relaxed"
numeric_digit_relaxed_20260928/generated_validation_20261012,174879,168935,143,143,0.0,0.0,0.7643547947366776,0.141373783275542,0.1388614537405273,0.0221606715102776,0.0646981335097208,0.1200025847654182,0.0492902111923406,0.0067260777878504,0.0063758370073021,0.0049723266345043,1115,840,0.0,0.0014035103727977,0.0249142456806085,0.1413294537778682,0.139036508686575,0.0221351883383555,0.5213681086132029,0.4188401216585133,0.480662205243775,0.119964079473999,0.764980071947061,0.1925118720839609,0.5133301302583815,0.7373531923980354,0.7438655435240661,0.0016318616837661,0.2387422360248447,86,100,0.7788372093023256,0.5725581395348838,705,1004,0.4960003955807974,0.4846006046735046,0.8514492753623188,0.0005120144792931,0.0,0.0100847115772488,0.7806691449814126,373.8951428571429,0.2818225496476618,0.587745921063846,24074.9203539823,0.1286071565986918,0.315977182995024,2.267038013420733,0.4808364490044344,1.0513559354407478,"ARGN gap+amount DIGIT, cap relaxed"
