run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
numeric_digit_relaxed_20260929/generated_validation_20261012,2,8976,8976,132,132,0.6369206773618539,0.0,0.625445632798574,81,0.009024064171122994,687,0.07653743315508021
numeric_digit_relaxed_20260929/generated_validation_20261012,3,52770,52728,132,132,0.6309537252937383,0.0,0.6272189349112426,458,0.00867917377297707,1170,0.022189349112426034
numeric_digit_relaxed_20260929/generated_validation_20261012,4,108786,131359,128,129,0.6327049253891417,0.0,0.6302879894030862,430,0.003952714503704521,2852,0.021711492931584437
order_category_digit_relaxed_20260928/generated_validation_20261011,0,143,143,143,143,0.7902097902097902,0.0,0.27972027972027974,11,0.07692307692307693,61,0.42657342657342656
order_category_digit_relaxed_20260928/generated_validation_20261011,1,4204,4301,143,143,0.4193647241110259,0.0,0.30434782608695654,135,0.032112274024738346,925,0.21506626365961404
order_category_digit_relaxed_20260928/generated_validation_20261011,2,8976,8935,132,136,0.3752175421219004,0.0,0.31628427532176834,81,0.009024064171122994,400,0.04476776720761052
order_category_digit_relaxed_20260928/generated_validation_20261011,3,52770,51747,132,130,0.34778155510257824,0.0,0.3308984095696369,458,0.00867917377297707,291,0.005623514406632268
order_category_digit_relaxed_20260928/generated_validation_20261011,4,108786,123422,128,124,0.3419120387944417,0.0,0.3263032522564859,430,0.003952714503704521,551,0.004464358056100209
order_category_digit_relaxed_20260928/generated_validation_20261012,0,143,143,143,143,0.7412587412587412,0.0,0.3076923076923077,11,0.07692307692307693,60,0.4195804195804196
order_category_digit_relaxed_20260928/generated_validation_20261012,1,4204,4252,143,143,0.41948737617625287,0.0,0.3052681091251176,135,0.032112274024738346,1016,0.2389463781749765
order_category_digit_relaxed_20260928/generated_validation_20261012,2,8976,8762,132,134,0.374857313077334,0.0,0.32115955261355855,81,0.009024064171122994,287,0.03275507874914403
order_category_digit_relaxed_20260928/generated_validation_20261012,3,52770,50327,132,126,0.3471279876226872,0.0,0.3275975122697558,458,0.00867917377297707,186,0.003695829276531484
order_category_digit_relaxed_20260928/generated_validation_20261012,4,108786,122319,128,124,0.34407701064956775,0.0,0.3274961371495843,430,0.003952714503704521,366,0.0029921761950310252
order_category_digit_relaxed_20260929/generated_validation_20261011,0,143,143,143,143,0.8321678321678321,0.0,0.1258741258741259,11,0.07692307692307693,52,0.36363636363636365
order_category_digit_relaxed_20260929/generated_validation_20261011,1,4204,4313,143,143,0.33481157909296855,0.0,0.14537444933920704,135,0.032112274024738346,970,0.22490146070020867
