gap_bin,seen_merchant,amount_vs_history,events,customers,frauds,invalid_labels,fraud_rate,event_share,source
5,1,1,41809,632,29,0,0.0006936305580138248,0.04561477775219924,real_train
5,1,2,20004,605,498,0,0.02489502099580084,0.021824918418402582,real_train
6,0,-1,1554,652,100,0,0.06435006435006435,0.0016954570696959415,real_train
6,0,0,110758,664,246,0,0.002221058523989238,0.12084004769973172,real_train
6,0,1,70074,662,71,0,0.0010132146017067672,0.07645267612733166,real_train
6,0,2,31990,649,688,0,0.02150672085026571,0.03490197661491195,real_train
6,1,-1,5,5,0,0,0.0,5.455138576885269e-06,real_train
6,1,0,171366,636,236,0,0.0013771693334733845,0.1869650554733042,real_train
6,1,1,131287,636,38,0,0.00028944221438527803,0.14323775566870725,real_train
6,1,2,59347,633,721,0,0.012148887054105516,0.064749221824482,real_train
7,0,-1,633,370,3,0,0.004739336492890996,0.000690620543833675,real_train
7,0,0,20602,636,22,0,0.00106785748956412,0.022477352992198062,real_train
7,0,1,13393,630,2,0,0.00014933174046143508,0.01461213419204488,real_train
7,0,2,5606,614,60,0,0.010702818408847663,0.006116301372403763,real_train
7,1,-1,2,2,0,0,0.0,2.1820554307541076e-06,real_train
7,1,0,16549,636,12,0,0.0007251193425584627,0.01805541766177486,real_train
7,1,1,12853,636,3,0,0.00023340854275266475,0.01402297922574127,real_train
7,1,2,5217,611,51,0,0.0097757331799885,0.005691891591122089,real_train
-1,0,-1,143,143,11,0,0.07692307692307693,0.0008177082439858416,real_validation
0,1,1,2,2,0,0,0.0,1.1436478936864918e-05,real_validation
1,0,0,5,5,0,0,0.0,2.8591197342162296e-05,real_validation
1,0,1,2,2,0,0,0.0,1.1436478936864918e-05,real_validation
1,0,2,2,2,0,0,0.0,1.1436478936864918e-05,real_validation
1,1,0,24,20,0,0,0.0,0.00013723774724237902,real_validation
1,1,1,8,8,0,0,0.0,4.574591574745967e-05,real_validation
1,1,2,2,2,1,0,0.5,1.1436478936864918e-05,real_validation
2,0,0,79,57,1,0,0.012658227848101266,0.00045174091800616426,real_validation
2,0,1,42,36,0,0,0.0,0.0002401660576741633,real_validation
2,0,2,26,24,2,0,0.07692307692307693,0.00014867422617924393,real_validation
2,1,0,156,61,1,0,0.00641025641025641,0.0008920453570754637,real_validation
2,1,1,111,51,0,0,0.0,0.000634724580996003,real_validation
2,1,2,50,33,0,0,0.0,0.00028591197342162295,real_validation
3,0,-1,7,7,2,0,0.2857142857142857,4.002767627902721e-05,real_validation
3,0,0,348,108,8,0,0.022988505747126436,0.001989947335014496,real_validation
3,0,1,189,90,5,0,0.026455026455026454,0.0010807472595337347,real_validation
3,0,2,87,61,17,0,0.19540229885057472,0.000497486833753624,real_validation
3,1,0,765,97,7,0,0.009150326797385621,0.004374453193350831,real_validation
3,1,1,446,91,3,0,0.006726457399103139,0.0025503348029208765,real_validation
3,1,2,237,75,18,0,0.0759493670886076,0.0013552227540184927,real_validation
4,0,-1,36,29,14,0,0.3888888888888889,0.0002058566208635685,real_validation
4,0,0,1974,135,34,0,0.017223910840932118,0.011287804710685674,real_validation
4,0,1,1093,137,16,0,0.01463860933211345,0.006250035738996677,real_validation
4,0,2,601,125,93,0,0.15474209650582363,0.003436661920527908,real_validation
4,1,0,4376,128,15,0,0.0034277879341864715,0.02502301591386044,real_validation
4,1,1,2692,120,9,0,0.0033432392273402673,0.015393500649020179,real_validation
4,1,2,1293,113,87,0,0.06728538283062645,0.00739368363268317,real_validation
5,0,-1,76,61,15,0,0.19736842105263158,0.0004345861996008669,real_validation
5,0,0,5697,135,32,0,0.00561699139898192,0.03257681025165972,real_validation
5,0,1,3270,138,15,0,0.0045871559633027525,0.018698643061774142,real_validation
5,0,2,1650,134,108,0,0.06545454545454546,0.009435095122913557,real_validation
5,1,-1,1,1,0,0,0.0,5.718239468432459e-06,real_validation
5,1,0,11541,132,30,0,0.0025994281258123215,0.06599420170517901,real_validation
5,1,1,7704,133,7,0,0.0009086188992731049,0.04405331686480366,real_validation
5,1,2,3476,126,96,0,0.02761795166858458,0.019876600392271227,real_validation
6,0,-1,304,136,12,0,0.039473684210526314,0.0017383447984034676,real_validation
6,0,0,21729,138,52,0,0.0023931151916793225,0.1242516254095689,real_validation
6,0,1,13897,136,17,0,0.001223285601208894,0.07946637389280588,real_validation
6,0,2,6402,137,136,0,0.021243361449547016,0.036608169076904604,real_validation
6,1,-1,2,2,0,0,0.0,1.1436478936864918e-05,real_validation
6,1,0,32331,132,48,0,0.0014846432216757911,0.18487640025388982,real_validation
6,1,1,24357,132,14,0,0.0005747834298148376,0.1392791587326094,real_validation
6,1,2,11083,132,145,0,0.01308310024361635,0.06337524802863695,real_validation
7,0,-1,146,84,1,0,0.00684931506849315,0.000834862962391139,real_validation
7,0,0,4803,132,3,0,0.0006246096189881324,0.027464704166881102,real_validation
7,0,1,3045,132,1,0,0.0003284072249589491,0.017412039181376838,real_validation
7,0,2,1390,128,22,0,0.015827338129496403,0.007948352861121118,real_validation
7,1,0,3423,132,2,0,0.0005842827928717499,0.019573533700444307,real_validation
7,1,1,2623,131,0,0,0.0,0.01499894212569834,real_validation
7,1,2,1133,127,15,0,0.01323918799646955,0.006478765317733976,real_validation
-1,0,-1,143,143,11,0,0.07692307692307693,0.0008177082439858416,codec_roundtrip
0,0,0,4,4,0,0,0.0,2.2872957873729835e-05,codec_roundtrip
0,0,1,1,1,0,0,0.0,5.718239468432459e-06,codec_roundtrip
0,0,2,1,1,0,0,0.0,5.718239468432459e-06,codec_roundtrip
0,1,0,3,3,0,0,0.0,1.7154718405297377e-05,codec_roundtrip
0,1,1,7,7,1,0,0.14285714285714285,4.002767627902721e-05,codec_roundtrip
1,0,0,6,6,0,0,0.0,3.4309436810594754e-05,codec_roundtrip
1,0,1,4,4,0,0,0.0,2.2872957873729835e-05,codec_roundtrip
1,0,2,3,3,0,0,0.0,1.7154718405297377e-05,codec_roundtrip
1,1,0,10,9,0,0,0.0,5.718239468432459e-05,codec_roundtrip
1,1,1,12,10,0,0,0.0,6.861887362118951e-05,codec_roundtrip
1,1,2,3,3,0,0,0.0,1.7154718405297377e-05,codec_roundtrip
2,0,-1,1,1,0,0,0.0,5.718239468432459e-06,codec_roundtrip
2,0,0,77,54,1,0,0.012987012987012988,0.00044030443906929934,codec_roundtrip
2,0,1,41,35,0,0,0.0,0.00023444781820573083,codec_roundtrip
2,0,2,23,18,4,0,0.17391304347826086,0.00013151950777394656,codec_roundtrip
2,1,0,196,69,4,0,0.02040816326530612,0.0011207749358127619,codec_roundtrip
2,1,1,88,44,0,0,0.0,0.0005032050732220564,codec_roundtrip
2,1,2,53,35,3,0,0.05660377358490566,0.00030306669182692035,codec_roundtrip
3,0,-1,6,6,2,0,0.3333333333333333,3.4309436810594754e-05,codec_roundtrip
3,0,0,344,108,9,0,0.02616279069767442,0.0019670743771407657,codec_roundtrip
3,0,1,180,88,3,0,0.016666666666666666,0.0010292831043178425,codec_roundtrip
3,0,2,88,60,16,0,0.18181818181818182,0.0005032050732220564,codec_roundtrip
3,1,0,731,97,4,0,0.005471956224350205,0.004180033051424128,codec_roundtrip
3,1,1,452,91,3,0,0.00663716814159292,0.0025846442397314713,codec_roundtrip
3,1,2,228,69,15,0,0.06578947368421052,0.0013037585988026007,codec_roundtrip
4,0,-1,35,29,13,0,0.37142857142857144,0.00020013838139513605,codec_roundtrip
4,0,0,1968,134,31,0,0.015752032520325202,0.01125349527387508,codec_roundtrip
4,0,1,1096,135,15,0,0.013686131386861315,0.006267190457401975,codec_roundtrip
4,0,2,608,128,100,0,0.16447368421052633,0.0034766895968069353,codec_roundtrip
4,1,0,4372,130,16,0,0.0036596523330283625,0.02500014295598671,codec_roundtrip
4,1,1,2693,116,8,0,0.0029706646862235424,0.015399218888488612,codec_roundtrip
4,1,2,1304,114,86,0,0.06595092024539877,0.007456584266835926,codec_roundtrip
5,0,-1,77,61,16,0,0.2077922077922078,0.00044030443906929934,codec_roundtrip
5,0,0,5721,134,31,0,0.0054186331061003325,0.032714047998902096,codec_roundtrip
5,0,1,3282,135,13,0,0.003960999390615478,0.01876726193539533,codec_roundtrip
5,0,2,1637,137,109,0,0.06658521686010996,0.009360758009823935,codec_roundtrip
5,1,-1,1,1,0,0,0.0,5.718239468432459e-06,codec_roundtrip
5,1,0,11562,132,29,0,0.0025082165715274176,0.0661142847340161,codec_roundtrip
5,1,1,7655,132,8,0,0.001045068582625735,0.04377312313085047,codec_roundtrip
5,1,2,3506,127,97,0,0.02766685681688534,0.020048147576324202,codec_roundtrip
6,0,-1,303,136,12,0,0.039603960396039604,0.001732626558935035,codec_roundtrip
6,0,0,21743,138,53,0,0.002437566113231845,0.12433168076212696,codec_roundtrip
6,0,1,13850,134,15,0,0.0010830324909747292,0.07919761663778956,codec_roundtrip
6,0,2,6413,139,137,0,0.02136285669733354,0.03667106971105736,codec_roundtrip
6,1,-1,2,2,0,0,0.0,1.1436478936864918e-05,codec_roundtrip
6,1,0,32315,132,48,0,0.0014853783072876373,0.18478490842239492,codec_roundtrip
6,1,1,24360,132,15,0,0.0006157635467980296,0.1392963134510147,codec_roundtrip
6,1,2,11107,132,143,0,0.012874763662555145,0.06351248577587933,codec_roundtrip
7,0,-1,147,84,1,0,0.006802721088435374,0.0008405812018595715,codec_roundtrip
7,0,0,4780,132,2,0,0.00041841004184100416,0.027333184659107154,codec_roundtrip
7,0,1,3055,132,1,0,0.0003273322422258593,0.01746922157606116,codec_roundtrip
7,0,2,1406,128,22,0,0.015647226173541962,0.008039844692616037,codec_roundtrip
7,1,0,3443,132,3,0,0.0008713331397037467,0.019687898489812956,codec_roundtrip
7,1,1,2608,131,0,0,0.0,0.014913168533671852,codec_roundtrip
7,1,2,1125,126,15,0,0.013333333333333334,0.006433019401986516,codec_roundtrip
-1,0,-1,143,143,24,0,0.16783216783216784,0.007996421182128278,cpar_20260928/generated_supported_validation_20261011
0,0,-1,17,16,3,0,0.17647058823529413,0.000950623497176089,cpar_20260928/generated_supported_validation_20261011
0,0,0,335,76,4,0,0.011940298507462687,0.01873287479729352,cpar_20260928/generated_supported_validation_20261011
0,0,1,257,70,1,0,0.0038910505836575876,0.01437119051613264,cpar_20260928/generated_supported_validation_20261011
0,0,2,109,45,2,0,0.01834862385321101,0.0060951741877761,cpar_20260928/generated_supported_validation_20261011
0,1,0,92,31,0,0,0.0,0.0051445506906000115,cpar_20260928/generated_supported_validation_20261011
0,1,1,48,25,2,0,0.041666666666666664,0.00268411340379131,cpar_20260928/generated_supported_validation_20261011
0,1,2,26,17,3,0,0.11538461538461539,0.0014538947603869596,cpar_20260928/generated_supported_validation_20261011
2,0,-1,1,1,0,0,0.0,5.59190292456523e-05,cpar_20260928/generated_supported_validation_20261011
2,0,0,1,1,0,0,0.0,5.59190292456523e-05,cpar_20260928/generated_supported_validation_20261011
2,0,1,2,2,0,0,0.0,0.0001118380584913046,cpar_20260928/generated_supported_validation_20261011
2,1,0,2,2,0,0,0.0,0.0001118380584913046,cpar_20260928/generated_supported_validation_20261011
3,0,-1,1,1,0,0,0.0,5.59190292456523e-05,cpar_20260928/generated_supported_validation_20261011
3,0,0,3,3,0,0,0.0,0.00016775708773695687,cpar_20260928/generated_supported_validation_20261011
3,0,1,9,9,0,0,0.0,0.0005032712632108706,cpar_20260928/generated_supported_validation_20261011
3,0,2,2,2,0,0,0.0,0.0001118380584913046,cpar_20260928/generated_supported_validation_20261011
3,1,0,1,1,0,0,0.0,5.59190292456523e-05,cpar_20260928/generated_supported_validation_20261011
3,1,1,2,2,0,0,0.0,0.0001118380584913046,cpar_20260928/generated_supported_validation_20261011
4,0,-1,5,5,0,0,0.0,0.0002795951462282615,cpar_20260928/generated_supported_validation_20261011
4,0,0,52,33,0,0,0.0,0.0029077895207739192,cpar_20260928/generated_supported_validation_20261011
4,0,1,35,30,0,0,0.0,0.0019571660235978305,cpar_20260928/generated_supported_validation_20261011
4,0,2,19,17,0,0,0.0,0.0010624615556673936,cpar_20260928/generated_supported_validation_20261011
4,1,0,13,8,0,0,0.0,0.0007269473801934798,cpar_20260928/generated_supported_validation_20261011
4,1,1,12,10,0,0,0.0,0.0006710283509478275,cpar_20260928/generated_supported_validation_20261011
4,1,2,9,7,0,0,0.0,0.0005032712632108706,cpar_20260928/generated_supported_validation_20261011
5,0,-1,21,18,0,0,0.0,0.0011742996141586982,cpar_20260928/generated_supported_validation_20261011
5,0,0,323,91,3,0,0.009287925696594427,0.018061846446345693,cpar_20260928/generated_supported_validation_20261011
5,0,1,251,83,2,0,0.00796812749003984,0.014035676340658726,cpar_20260928/generated_supported_validation_20261011
5,0,2,80,40,2,0,0.025,0.004473522339652184,cpar_20260928/generated_supported_validation_20261011
5,1,0,60,31,0,0,0.0,0.003355141754739138,cpar_20260928/generated_supported_validation_20261011
5,1,1,50,28,1,0,0.02,0.0027959514622826146,cpar_20260928/generated_supported_validation_20261011
5,1,2,19,13,0,0,0.0,0.0010624615556673936,cpar_20260928/generated_supported_validation_20261011
6,0,-1,525,143,16,0,0.030476190476190476,0.029357490353967456,cpar_20260928/generated_supported_validation_20261011
6,0,0,6384,143,79,0,0.01237468671679198,0.35698708270424423,cpar_20260928/generated_supported_validation_20261011
6,0,1,5335,140,63,0,0.011808809746954077,0.298328021025555,cpar_20260928/generated_supported_validation_20261011
6,0,2,1038,103,14,0,0.01348747591522158,0.05804395235698708,cpar_20260928/generated_supported_validation_20261011
6,1,-1,2,2,0,0,0.0,0.0001118380584913046,cpar_20260928/generated_supported_validation_20261011
6,1,0,1265,100,17,0,0.013438735177865613,0.07073757199575015,cpar_20260928/generated_supported_validation_20261011
6,1,1,1066,98,9,0,0.008442776735459663,0.059609685175865346,cpar_20260928/generated_supported_validation_20261011
6,1,2,265,56,3,0,0.011320754716981131,0.014818542750097858,cpar_20260928/generated_supported_validation_20261011
7,0,0,1,1,0,0,0.0,5.59190292456523e-05,cpar_20260928/generated_supported_validation_20261011
7,0,1,1,1,0,0,0.0,5.59190292456523e-05,cpar_20260928/generated_supported_validation_20261011
7,1,0,1,1,0,0,0.0,5.59190292456523e-05,cpar_20260928/generated_supported_validation_20261011
-1,0,-1,143,143,26,0,0.18181818181818182,0.00817797094818712,cpar_20260928/generated_supported_validation_20261012
0,0,-1,24,21,1,0,0.041666666666666664,0.0013725265927027337,cpar_20260928/generated_supported_validation_20261012
0,0,0,330,83,2,0,0.006060606060606061,0.018872240649662586,cpar_20260928/generated_supported_validation_20261012
0,0,1,198,70,4,0,0.020202020202020204,0.011323344389797553,cpar_20260928/generated_supported_validation_20261012
0,0,2,103,42,0,0,0.0,0.005890426627015898,cpar_20260928/generated_supported_validation_20261012
0,1,0,68,28,0,0,0.0,0.0038888253459910785,cpar_20260928/generated_supported_validation_20261012
0,1,1,47,25,1,0,0.02127659574468085,0.0026878645773761867,cpar_20260928/generated_supported_validation_20261012
0,1,2,28,21,1,0,0.03571428571428571,0.0016012810248198558,cpar_20260928/generated_supported_validation_20261012
2,0,0,1,1,0,0,0.0,5.7188608029280565e-05,cpar_20260928/generated_supported_validation_20261012
2,0,2,1,1,0,0,0.0,5.7188608029280565e-05,cpar_20260928/generated_supported_validation_20261012
2,1,0,2,2,0,0,0.0,0.00011437721605856113,cpar_20260928/generated_supported_validation_20261012
3,0,-1,1,1,0,0,0.0,5.7188608029280565e-05,cpar_20260928/generated_supported_validation_20261012
3,0,0,4,4,0,0,0.0,0.00022875443211712226,cpar_20260928/generated_supported_validation_20261012
3,0,1,4,4,0,0,0.0,0.00022875443211712226,cpar_20260928/generated_supported_validation_20261012
3,0,2,5,5,0,0,0.0,0.00028594304014640284,cpar_20260928/generated_supported_validation_20261012
3,1,0,3,3,0,0,0.0,0.0001715658240878417,cpar_20260928/generated_supported_validation_20261012
4,0,-1,7,6,0,0,0.0,0.00040032025620496394,cpar_20260928/generated_supported_validation_20261012
4,0,0,60,43,2,0,0.03333333333333333,0.003431316481756834,cpar_20260928/generated_supported_validation_20261012
4,0,1,39,31,1,0,0.02564102564102564,0.002230355713141942,cpar_20260928/generated_supported_validation_20261012
4,0,2,16,13,1,0,0.0625,0.000915017728468489,cpar_20260928/generated_supported_validation_20261012
4,1,0,6,6,0,0,0.0,0.0003431316481756834,cpar_20260928/generated_supported_validation_20261012
4,1,1,10,9,1,0,0.1,0.0005718860802928057,cpar_20260928/generated_supported_validation_20261012
4,1,2,1,1,0,0,0.0,5.7188608029280565e-05,cpar_20260928/generated_supported_validation_20261012
5,0,-1,21,21,0,0,0.0,0.0012009607686148918,cpar_20260928/generated_supported_validation_20261012
5,0,0,326,91,3,0,0.009202453987730062,0.018643486217545465,cpar_20260928/generated_supported_validation_20261012
5,0,1,215,86,2,0,0.009302325581395349,0.012295550726295321,cpar_20260928/generated_supported_validation_20261012
5,0,2,66,40,4,0,0.06060606060606061,0.0037744481299325176,cpar_20260928/generated_supported_validation_20261012
5,1,-1,1,1,0,0,0.0,5.7188608029280565e-05,cpar_20260928/generated_supported_validation_20261012
5,1,0,52,32,0,0,0.0,0.0029738076175225897,cpar_20260928/generated_supported_validation_20261012
5,1,1,37,21,0,0,0.0,0.002115978497083381,cpar_20260928/generated_supported_validation_20261012
5,1,2,20,15,0,0,0.0,0.0011437721605856114,cpar_20260928/generated_supported_validation_20261012
6,0,-1,515,143,14,0,0.027184466019417475,0.02945213313507949,cpar_20260928/generated_supported_validation_20261012
6,0,0,6305,142,88,0,0.013957176843774783,0.36057417362461397,cpar_20260928/generated_supported_validation_20261012
6,0,1,5275,138,62,0,0.011753554502369668,0.301669907354455,cpar_20260928/generated_supported_validation_20261012
6,0,2,1022,99,10,0,0.009784735812133072,0.05844675740592474,cpar_20260928/generated_supported_validation_20261012
6,1,-1,3,3,0,0,0.0,0.0001715658240878417,cpar_20260928/generated_supported_validation_20261012
6,1,0,1274,102,12,0,0.009419152276295133,0.07285828662930344,cpar_20260928/generated_supported_validation_20261012
6,1,1,1015,93,12,0,0.011822660098522168,0.05804643714971978,cpar_20260928/generated_supported_validation_20261012
6,1,2,238,58,5,0,0.02100840336134454,0.013610888710968775,cpar_20260928/generated_supported_validation_20261012
-1,0,-1,143,143,56,0,0.3916083916083916,0.0007584275622122749,digit_relaxed_20260928/generated_validation_20261011
0,0,0,4,4,0,0,0.0,2.1214756984958736e-05,digit_relaxed_20260928/generated_validation_20261011
0,0,1,1,1,0,0,0.0,5.303689246239684e-06,digit_relaxed_20260928/generated_validation_20261011
0,0,2,1,1,0,0,0.0,5.303689246239684e-06,digit_relaxed_20260928/generated_validation_20261011
0,1,0,3,3,0,0,0.0,1.5911067738719054e-05,digit_relaxed_20260928/generated_validation_20261011
0,1,1,1,1,0,0,0.0,5.303689246239684e-06,digit_relaxed_20260928/generated_validation_20261011
0,1,2,1,1,0,0,0.0,5.303689246239684e-06,digit_relaxed_20260928/generated_validation_20261011
1,0,-1,1,1,1,0,1.0,5.303689246239684e-06,digit_relaxed_20260928/generated_validation_20261011
1,0,0,10,9,0,0,0.0,5.303689246239684e-05,digit_relaxed_20260928/generated_validation_20261011
1,0,1,3,3,1,0,0.3333333333333333,1.5911067738719054e-05,digit_relaxed_20260928/generated_validation_20261011
1,0,2,4,4,0,0,0.0,2.1214756984958736e-05,digit_relaxed_20260928/generated_validation_20261011
1,1,0,12,11,0,0,0.0,6.364427095487621e-05,digit_relaxed_20260928/generated_validation_20261011
1,1,1,9,8,0,0,0.0,4.773320321615716e-05,digit_relaxed_20260928/generated_validation_20261011
1,1,2,4,4,0,0,0.0,2.1214756984958736e-05,digit_relaxed_20260928/generated_validation_20261011
2,0,-1,1,1,0,0,0.0,5.303689246239684e-06,digit_relaxed_20260928/generated_validation_20261011
2,0,0,77,53,1,0,0.012987012987012988,0.0004083840719604557,digit_relaxed_20260928/generated_validation_20261011
2,0,1,41,33,1,0,0.024390243902439025,0.00021745125909582706,digit_relaxed_20260928/generated_validation_20261011
2,0,2,28,26,0,0,0.0,0.00014850329889471117,digit_relaxed_20260928/generated_validation_20261011
2,1,0,188,73,3,0,0.015957446808510637,0.0009970935782930607,digit_relaxed_20260928/generated_validation_20261011
2,1,1,124,55,1,0,0.008064516129032258,0.0006576574665337208,digit_relaxed_20260928/generated_validation_20261011
2,1,2,59,38,0,0,0.0,0.0003129176655281414,digit_relaxed_20260928/generated_validation_20261011
3,0,-1,3,3,2,0,0.6666666666666666,1.5911067738719054e-05,digit_relaxed_20260928/generated_validation_20261011
3,0,0,309,100,12,0,0.038834951456310676,0.0016388399770880624,digit_relaxed_20260928/generated_validation_20261011
3,0,1,227,95,7,0,0.030837004405286344,0.0012039374588964083,digit_relaxed_20260928/generated_validation_20261011
3,0,2,93,56,6,0,0.06451612903225806,0.0004932430999002906,digit_relaxed_20260928/generated_validation_20261011
3,1,0,804,104,4,0,0.004975124378109453,0.004264166153976706,digit_relaxed_20260928/generated_validation_20261011
3,1,1,482,93,1,0,0.002074688796680498,0.002556378216687528,digit_relaxed_20260928/generated_validation_20261011
3,1,2,200,66,2,0,0.01,0.001060737849247937,digit_relaxed_20260928/generated_validation_20261011
4,0,-1,28,24,18,0,0.6428571428571429,0.00014850329889471117,digit_relaxed_20260928/generated_validation_20261011
4,0,0,2159,134,73,0,0.03381194997684113,0.011450665082631479,digit_relaxed_20260928/generated_validation_20261011
4,0,1,1428,132,21,0,0.014705882352941176,0.007573668243630269,digit_relaxed_20260928/generated_validation_20261011
4,0,2,617,117,38,0,0.06158833063209076,0.0032723762649298853,digit_relaxed_20260928/generated_validation_20261011
4,1,0,4815,128,28,0,0.005815160955347871,0.02553726372064408,digit_relaxed_20260928/generated_validation_20261011
4,1,1,3146,125,9,0,0.002860775588048315,0.016685406368670046,digit_relaxed_20260928/generated_validation_20261011
4,1,2,1393,105,21,0,0.01507537688442211,0.0073880391200118805,digit_relaxed_20260928/generated_validation_20261011
5,0,-1,74,57,33,0,0.44594594594594594,0.00039247300422173663,digit_relaxed_20260928/generated_validation_20261011
5,0,0,5775,137,105,0,0.01818181818181818,0.03062880539703418,digit_relaxed_20260928/generated_validation_20261011
5,0,1,3988,137,36,0,0.009027081243731194,0.021151112714003863,digit_relaxed_20260928/generated_validation_20261011
5,0,2,1639,132,80,0,0.048810250152532035,0.008692746674586842,digit_relaxed_20260928/generated_validation_20261011
5,1,-1,1,1,1,0,1.0,5.303689246239684e-06,digit_relaxed_20260928/generated_validation_20261011
5,1,0,12638,133,62,0,0.004905839531571451,0.06702802469397713,digit_relaxed_20260928/generated_validation_20261011
5,1,1,8772,132,30,0,0.003419972640218878,0.04652396206801451,digit_relaxed_20260928/generated_validation_20261011
5,1,2,3670,115,39,0,0.010626702997275205,0.019464539533699643,digit_relaxed_20260928/generated_validation_20261011
6,0,-1,337,137,87,0,0.258160237388724,0.0017873432759827736,digit_relaxed_20260928/generated_validation_20261011
6,0,0,21921,139,188,0,0.008576251083435975,0.11626217196682012,digit_relaxed_20260928/generated_validation_20261011
6,0,1,15873,140,68,0,0.004284004284004284,0.0841854594055625,digit_relaxed_20260928/generated_validation_20261011
6,0,2,5946,140,124,0,0.020854355869492094,0.03153573625814116,digit_relaxed_20260928/generated_validation_20261011
6,1,-1,2,2,0,0,0.0,1.0607378492479368e-05,digit_relaxed_20260928/generated_validation_20261011
6,1,0,37550,133,107,0,0.0028495339547270305,0.19915353119630014,digit_relaxed_20260928/generated_validation_20261011
6,1,1,27405,132,48,0,0.001751505199781062,0.14534760379319855,digit_relaxed_20260928/generated_validation_20261011
6,1,2,10582,132,65,0,0.006142506142506142,0.056123639603708336,digit_relaxed_20260928/generated_validation_20261011
7,0,-1,124,79,4,0,0.03225806451612903,0.0006576574665337208,digit_relaxed_20260928/generated_validation_20261011
7,0,0,4262,136,34,0,0.007977475363679024,0.022604323567473536,digit_relaxed_20260928/generated_validation_20261011
7,0,1,3339,134,14,0,0.0041928721174004195,0.017709018393194307,digit_relaxed_20260928/generated_validation_20261011
7,0,2,955,125,8,0,0.008376963350785341,0.005065023230158898,digit_relaxed_20260928/generated_validation_20261011
7,1,-1,1,1,0,0,0.0,5.303689246239684e-06,digit_relaxed_20260928/generated_validation_20261011
7,1,0,3565,133,5,0,0.001402524544179523,0.018907652162844475,digit_relaxed_20260928/generated_validation_20261011
7,1,1,2795,131,5,0,0.0017889087656529517,0.014823811443239918,digit_relaxed_20260928/generated_validation_20261011
7,1,2,915,128,2,0,0.002185792349726776,0.004852875660309311,digit_relaxed_20260928/generated_validation_20261011
-1,0,-1,143,143,53,0,0.3706293706293706,0.000769632352545438,digit_relaxed_20260928/generated_validation_20261012
0,0,0,3,3,0,0,0.0,1.6146133270184013e-05,digit_relaxed_20260928/generated_validation_20261012
0,0,1,2,2,1,0,0.5,1.0764088846789342e-05,digit_relaxed_20260928/generated_validation_20261012
