run,age_band,events,valid_ratio_events,real_valid_ratio_events,valid_event_share,real_valid_event_share,amount_mean,ratio_median,ratio_log_w1
digit_relaxed_20260929/generated_validation_20261012,2,230,230,438,0.1962457337883959,0.40331491712707185,3557.1491304347824,2.3579057556180243,0.8155025412652313
digit_relaxed_20260929/generated_validation_20261012,3,267,267,139,0.22781569965870307,0.1279926335174954,3232.2741947565546,1.1830299809574418,0.5672495662747604
digit_relaxed_20260929/generated_validation_20261012,4,524,524,0,0.447098976109215,0.0,3125.6387786259547,0.9689576954090932,
native_20260928/generated_validation_20261011,0,280,207,102,0.19865642994241842,0.09392265193370165,508.6137198067633,0.7223271628258405,1.4342995964172625
native_20260928/generated_validation_20261011,1,333,155,407,0.14875239923224567,0.3747697974217311,2054.808580645161,0.7138696114685174,1.1242125959172842
native_20260928/generated_validation_20261011,2,281,281,438,0.2696737044145873,0.40331491712707185,3238.3789323843416,1.4007029876977153,0.9672032748653616
native_20260928/generated_validation_20261011,3,169,169,139,0.16218809980806143,0.1279926335174954,3662.2611242603552,0.7601047887454956,0.5567179379158103
native_20260928/generated_validation_20261011,4,230,230,0,0.22072936660268713,0.0,4504.425043478261,0.6719676896208324,
native_20260928/generated_validation_20261012,0,254,182,102,0.2272159800249688,0.09392265193370165,346.92675824175825,0.7726161106648401,1.402447355955211
native_20260928/generated_validation_20261012,1,281,91,407,0.1136079900124844,0.3747697974217311,2302.8337362637362,1.6863643304321272,1.0848826210508302
native_20260928/generated_validation_20261012,2,236,236,438,0.29463171036204744,0.40331491712707185,3548.9340254237286,1.3468208278577356,0.8868772855316311
native_20260928/generated_validation_20261012,3,192,192,139,0.2397003745318352,0.1279926335174954,3704.3448958333333,0.6248764481725164,0.6538985061669855
native_20260928/generated_validation_20261012,4,100,100,0,0.12484394506866417,0.0,3851.7823000000003,0.5737789348302014,
native_20260929/generated_validation_20261011,0,214,155,102,0.21320495185694635,0.09392265193370165,432.5623225806452,1.0895343254920788,1.35261564415438
native_20260929/generated_validation_20261011,1,213,43,407,0.059147180192572216,0.3747697974217311,1276.6367441860464,1.9859719438877752,0.8852577471520523
native_20260929/generated_validation_20261011,2,214,214,438,0.29436038514442914,0.40331491712707185,4455.634018691589,2.0586191392648168,0.7582258585154816
native_20260929/generated_validation_20261011,3,208,208,139,0.2861072902338377,0.1279926335174954,4033.312836538462,0.8164777086016295,0.485213193216403
native_20260929/generated_validation_20261011,4,107,107,0,0.14718019257221457,0.0,4369.2387850467285,0.5618153898652106,
native_20260929/generated_validation_20261012,0,198,132,102,0.16966580976863754,0.09392265193370165,209.03424242424242,1.0182761075606541,1.4148952765892289
native_20260929/generated_validation_20261012,1,240,42,407,0.05398457583547558,0.3747697974217311,1895.6173809523807,0.9958522325824885,1.1497659108047427
native_20260929/generated_validation_20261012,2,242,242,438,0.3110539845758355,0.40331491712707185,4539.762396694215,1.445678593873097,0.7190719450194047
native_20260929/generated_validation_20261012,3,207,207,139,0.2660668380462725,0.1279926335174954,3743.463623188405,0.4429720996706642,0.6447440341694453
native_20260929/generated_validation_20261012,4,155,155,0,0.19922879177377892,0.0,4893.6899354838715,0.8958836911701975,
numeric_digit_relaxed_20260928/generated_validation_20261011,0,145,92,102,0.11330049261083744,0.09392265193370165,156.35108695652175,1.603261104080902,1.1079185504188016
numeric_digit_relaxed_20260928/generated_validation_20261011,1,175,50,407,0.06157635467980296,0.3747697974217311,352.014,1.2187118731137223,0.9490050578600371
numeric_digit_relaxed_20260928/generated_validation_20261011,2,151,151,438,0.18596059113300492,0.40331491712707185,412.2231125827815,0.9890266680502231,1.0267851922331759
numeric_digit_relaxed_20260928/generated_validation_20261011,3,192,192,139,0.23645320197044334,0.1279926335174954,413.10640624999996,0.9005982286135839,0.5661859450799056
numeric_digit_relaxed_20260928/generated_validation_20261011,4,327,327,0,0.4027093596059113,0.0,491.97568807339445,0.9575802967017139,
numeric_digit_relaxed_20260928/generated_validation_20261012,0,140,83,102,0.12537764350453173,0.09392265193370165,156.64433734939763,1.3718917433713425,1.0907089956624163
numeric_digit_relaxed_20260928/generated_validation_20261012,1,168,31,407,0.04682779456193353,0.3747697974217311,397.86709677419356,3.256662728108179,0.7246800318335556
numeric_digit_relaxed_20260928/generated_validation_20261012,2,138,138,438,0.2084592145015106,0.40331491712707185,354.4357971014493,0.9949917281174306,0.9163977144558371
numeric_digit_relaxed_20260928/generated_validation_20261012,3,138,138,139,0.2084592145015106,0.1279926335174954,455.6667391304348,1.0344706050086372,0.4229398799230052
numeric_digit_relaxed_20260928/generated_validation_20261012,4,272,272,0,0.4108761329305136,0.0,437.3930514705882,0.9006596834447882,
numeric_digit_relaxed_20260929/generated_validation_20261011,0,106,69,102,0.02019315188762072,0.09392265193370165,131.8265217391304,1.5213362912697377,1.185242640700001
numeric_digit_relaxed_20260929/generated_validation_20261011,1,180,72,407,0.021071115013169446,0.3747697974217311,417.0993055555555,2.58968947325746,0.5257244950822576
numeric_digit_relaxed_20260929/generated_validation_20261011,2,191,191,438,0.055896985659935616,0.40331491712707185,538.0777486910994,2.266606872582544,0.6073775546157205
numeric_digit_relaxed_20260929/generated_validation_20261011,3,259,259,139,0.07579748317237343,0.1279926335174954,493.2942084942085,1.1143874712202608,0.4210602509448823
numeric_digit_relaxed_20260929/generated_validation_20261011,4,2826,2826,0,0.8270412642669008,0.0,566.4607997169145,0.9952927176914108,
numeric_digit_relaxed_20260929/generated_validation_20261012,0,145,100,102,0.017921146953405017,0.09392265193370165,179.06900000000002,2.408648889238816,0.9037845722431244
numeric_digit_relaxed_20260929/generated_validation_20261012,1,279,137,407,0.024551971326164875,0.3747697974217311,357.0604379562044,2.2999248039531635,0.6564477872512469
numeric_digit_relaxed_20260929/generated_validation_20261012,2,318,318,438,0.05698924731182796,0.40331491712707185,482.0327044025157,2.396255661299851,0.5533938731898442
numeric_digit_relaxed_20260929/generated_validation_20261012,3,438,438,139,0.07849462365591398,0.1279926335174954,483.8322146118722,1.1587180317102388,0.31607110229226876
numeric_digit_relaxed_20260929/generated_validation_20261012,4,4587,4587,0,0.8220430107526882,0.0,561.2128384565075,0.9943466797473788,
order_category_digit_relaxed_20260928/generated_validation_20261011,0,260,195,102,0.09447674418604651,0.09392265193370165,460.38143589743595,1.3958801498127342,1.1612240021980966
order_category_digit_relaxed_20260928/generated_validation_20261011,1,348,163,407,0.07897286821705427,0.3747697974217311,1998.750736196319,2.431736954967834,0.9036175741045663
order_category_digit_relaxed_20260928/generated_validation_20261011,2,389,389,438,0.18846899224806202,0.40331491712707185,3177.3537789203087,2.243043844856661,0.6988444971733375
order_category_digit_relaxed_20260928/generated_validation_20261011,3,543,543,139,0.26308139534883723,0.1279926335174954,3483.7472744014735,1.132272037724124,0.6236803270899128
order_category_digit_relaxed_20260928/generated_validation_20261011,4,774,774,0,0.375,0.0,3441.0701937984495,0.8466989028785101,
order_category_digit_relaxed_20260928/generated_validation_20261012,0,239,175,102,0.10460251046025104,0.09392265193370165,466.8886857142857,0.8242016806722688,1.3739427732234204
order_category_digit_relaxed_20260928/generated_validation_20261012,1,319,122,407,0.07292289300657502,0.3747697974217311,2635.8394262295083,3.008935111475793,0.8625627179777853
order_category_digit_relaxed_20260928/generated_validation_20261012,2,347,347,438,0.20741183502689778,0.40331491712707185,2667.184438040346,1.2889698108774816,0.7804960513432162
order_category_digit_relaxed_20260928/generated_validation_20261012,3,500,500,139,0.2988643156007173,0.1279926335174954,3232.86994,1.1369316443209452,0.6248834899626478
order_category_digit_relaxed_20260928/generated_validation_20261012,4,529,529,0,0.3161984459055589,0.0,3004.7730056710775,0.9554131324822498,
order_category_digit_relaxed_20260929/generated_validation_20261011,0,132,75,102,0.046296296296296294,0.09392265193370165,701.6373333333332,1.4819682641448948,1.1779357520899714
order_category_digit_relaxed_20260929/generated_validation_20261011,1,251,63,407,0.03888888888888889,0.3747697974217311,1593.8928571428573,2.44813490035769,0.8367040888524395
order_category_digit_relaxed_20260929/generated_validation_20261011,2,286,286,438,0.1765432098765432,0.40331491712707185,3235.346153846154,2.6944544242354422,0.6633520277704763
order_category_digit_relaxed_20260929/generated_validation_20261011,3,397,397,139,0.24506172839506174,0.1279926335174954,3135.0548614609575,1.2602258004812141,0.39952337999931864
order_category_digit_relaxed_20260929/generated_validation_20261011,4,799,799,0,0.49320987654320986,0.0,3349.766908635795,0.9432526069667023,
order_category_digit_relaxed_20260929/generated_validation_20261012,0,123,78,102,0.05524079320113314,0.09392265193370165,148.240641025641,0.9074754995988522,1.4660069897664445
order_category_digit_relaxed_20260929/generated_validation_20261012,1,234,67,407,0.04745042492917847,0.3747697974217311,2422.933880597015,4.136727482512439,0.7690470846073123
order_category_digit_relaxed_20260929/generated_validation_20261012,2,270,270,438,0.19121813031161472,0.40331491712707185,3359.283111111111,1.7535007932775275,0.730234757349334
order_category_digit_relaxed_20260929/generated_validation_20261012,3,356,356,139,0.2521246458923513,0.1279926335174954,3389.930814606742,1.1171591812477693,0.6055140926561513
order_category_digit_relaxed_20260929/generated_validation_20261012,4,641,641,0,0.45396600566572237,0.0,3682.9133853354133,0.956810964399131,
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,0,123,67,102,0.04579630895420369,0.09392265193370165,122.08164179104477,0.7915098285236303,1.3573042756417693
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,1,178,46,407,0.03144224196855776,0.3747697974217311,437.31760869565227,1.6791372230818118,1.0602980282208607
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,2,185,185,438,0.1264524948735475,0.40331491712707185,561.7583243243243,1.4906428394142466,0.9009262739289107
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,3,255,255,139,0.17429938482570062,0.1279926335174954,576.8463921568629,1.0917377305951967,0.44179000115874734
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,4,910,910,0,0.6220095693779905,0.0,601.7638571428571,0.9891009409680127,
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,0,146,90,102,0.03420752565564424,0.09392265193370165,154.96666666666667,1.0881432171077214,1.3357035691010575
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,1,230,80,407,0.03040668947168377,0.3747697974217311,490.60687500000006,1.1303736973898026,1.2186720935458992
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,2,233,233,438,0.08855948308627898,0.40331491712707185,606.552703862661,1.1329913964262077,0.9704178993900827
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,3,301,301,139,0.11440516913721019,0.1279926335174954,587.8432225913621,1.0226779448962384,0.5451982840198975
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,4,1927,1927,0,0.7324211326491828,0.0,615.9510690192008,0.9806752585168675,
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,0,117,71,102,0.015746285207363053,0.09392265193370165,111.41436619718309,1.4394257316399777,1.2391773413864935
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,1,183,43,407,0.009536482590374805,0.3747697974217311,461.0051162790698,2.7842170533256705,0.5593288279402593
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,2,208,208,438,0.04612996229762697,0.40331491712707185,619.2754807692307,1.24183945971276,0.82789040882033
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,3,330,330,139,0.07318695941450433,0.1279926335174954,603.452,1.1038380118584632,0.47815611391673224
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,4,3857,3857,0,0.8554003104901309,0.0,677.7134742027483,0.9915137655655405,
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,0,158,109,102,0.013170613823102948,0.09392265193370165,185.77541284403677,2.0032128514056224,1.077265646155856
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,1,331,153,407,0.018487191880135333,0.3747697974217311,542.6656209150326,2.015078082929456,0.6426568230596051
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,2,363,363,438,0.043861768970517155,0.40331491712707185,638.5288980716253,2.0904152213833913,0.6535248273427877
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,3,561,561,139,0.06778637022716288,0.1279926335174954,601.6430481283422,1.1138830827321151,0.40638799921846164
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,4,7090,7090,0,0.8566940550990817,0.0,646.0668138222849,0.9975653571302172,
order_category_relaxed_20260928/generated_validation_20261011,0,269,196,102,0.17866909753874202,0.09392265193370165,1133.689693877551,0.8663154361763603,1.2338177578327016
order_category_relaxed_20260928/generated_validation_20261011,1,331,112,407,0.10209662716499544,0.3747697974217311,2332.7580357142856,2.494315908799223,0.9065218646026694
order_category_relaxed_20260928/generated_validation_20261011,2,295,295,438,0.2689152233363719,0.40331491712707185,3704.1153220338983,1.4306237664662413,0.7244302726122309
order_category_relaxed_20260928/generated_validation_20261011,3,193,193,139,0.17593436645396535,0.1279926335174954,4817.759844559586,1.0344514100645845,0.4780166537101908
order_category_relaxed_20260928/generated_validation_20261011,4,301,301,0,0.27438468550592526,0.0,5299.813554817275,0.7078768659874145,
order_category_relaxed_20260928/generated_validation_20261012,0,255,187,102,0.23057953144266338,0.09392265193370165,1040.407860962567,1.164068529093996,1.2862077209800795
order_category_relaxed_20260928/generated_validation_20261012,1,271,78,407,0.09617755856966707,0.3747697974217311,2009.58282051282,1.3220344201611582,1.031748458000258
order_category_relaxed_20260928/generated_validation_20261012,2,248,248,438,0.30579531442663377,0.40331491712707185,3660.761008064516,1.4422735487646818,0.7116607677373574
order_category_relaxed_20260928/generated_validation_20261012,3,163,163,139,0.20098643649815043,0.1279926335174954,4113.606196319019,0.9864196728803419,0.46934816441448524
order_category_relaxed_20260928/generated_validation_20261012,4,135,135,0,0.16646115906288533,0.0,4624.808444444445,0.7254867942794846,
order_category_relaxed_20260929/generated_validation_20261011,0,172,124,102,0.09679937548790007,0.09392265193370165,936.0581451612902,0.9697185450972701,1.325730878253006
order_category_relaxed_20260929/generated_validation_20261011,1,266,97,407,0.07572209211553474,0.3747697974217311,2577.9685567010306,3.2489015249418456,0.8465497833414306
order_category_relaxed_20260929/generated_validation_20261011,2,288,288,438,0.22482435597189696,0.40331491712707185,3794.206458333333,2.4686608070116067,0.6628461480657124
order_category_relaxed_20260929/generated_validation_20261011,3,355,355,139,0.27712724434035907,0.1279926335174954,4252.888197183099,1.6913023195747225,0.40270094862716166
order_category_relaxed_20260929/generated_validation_20261011,4,417,417,0,0.3255269320843091,0.0,4007.4056594724225,0.5650462754964507,
order_category_relaxed_20260929/generated_validation_20261012,0,157,112,102,0.10969637610186092,0.09392265193370165,930.0892857142857,1.3938120631590918,1.1107216261566268
order_category_relaxed_20260929/generated_validation_20261012,1,249,81,407,0.07933398628795299,0.3747697974217311,3252.8746913580253,4.689822294022617,0.9077289801833577
order_category_relaxed_20260929/generated_validation_20261012,2,283,283,438,0.277179236043095,0.40331491712707185,4019.8229328621915,1.7007765291520573,0.6339878614080059
order_category_relaxed_20260929/generated_validation_20261012,3,333,333,139,0.32615083251714005,0.1279926335174954,3724.6131531531537,1.2221452577028655,0.420456532646287
order_category_relaxed_20260929/generated_validation_20261012,4,212,212,0,0.20763956904995104,0.0,4000.6980660377358,0.9709771112718952,
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,0,173,131,102,0.28293736501079914,0.09392265193370165,271.5176335877863,1.0522847100175745,1.3685858792104217
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,1,142,29,407,0.06263498920086392,0.3747697974217311,3492.959310344827,6.473511819994304,0.6535336228969202
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,2,99,99,438,0.21382289416846653,0.40331491712707185,4619.810707070707,1.3028541034137575,0.8622551603539472
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,3,72,72,139,0.15550755939524838,0.1279926335174954,5131.754166666667,1.119750380393344,0.44809837268540215
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,4,132,132,0,0.28509719222462204,0.0,5428.394848484849,0.8552485977515504,
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,0,160,122,102,0.35260115606936415,0.09392265193370165,56.77811475409836,0.92638411521596,1.4775129521646797
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,1,111,26,407,0.07514450867052024,0.3747697974217311,3404.295384615385,6.198221945308076,0.8359800835413889
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,2,91,91,438,0.2630057803468208,0.40331491712707185,4717.559340659341,2.530437638624761,0.816782376764787
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,3,70,70,139,0.2023121387283237,0.1279926335174954,3598.524714285714,0.7076887614309715,0.5171270442941902
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,4,37,37,0,0.1069364161849711,0.0,4013.563243243244,0.29517761392175906,
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,0,131,99,102,0.14082503556187767,0.09392265193370165,171.2350505050505,1.0560327198364008,1.368258136250271
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,1,135,44,407,0.06258890469416785,0.3747697974217311,3227.8949999999995,1.1044714946798493,1.0593999500756826
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,2,140,140,438,0.19914651493598862,0.40331491712707185,4317.554857142857,1.429619799641198,0.7295120766457077
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,3,148,148,139,0.21052631578947367,0.1279926335174954,4614.2697972972965,1.282155508727898,0.4238500909148756
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,4,272,272,0,0.3869132290184922,0.0,4078.351176470588,0.8485186692306912,
order_event_is_fraud_relaxed_20260929/generated_validation_20261012,0,115,85,102,0.13406940063091483,0.09392265193370165,54.4150588235294,1.2365454367218902,1.4193221789951622
order_event_is_fraud_relaxed_20260929/generated_validation_20261012,1,145,29,407,0.04574132492113565,0.3747697974217311,899.2413793103447,1.4944940379227212,0.966662899314161
order_event_is_fraud_relaxed_20260929/generated_validation_20261012,2,162,162,438,0.2555205047318612,0.40331491712707185,5341.425185185185,1.8601945551669008,0.6413773713562642
order_event_is_fraud_relaxed_20260929/generated_validation_20261012,3,186,186,139,0.29337539432176657,0.1279926335174954,4487.482311827956,0.999616919595308,0.49481080290668245
order_event_is_fraud_relaxed_20260929/generated_validation_20261012,4,172,172,0,0.27129337539432175,0.0,5312.282674418605,0.7681994483298854,
relaxed_20260928/generated_validation_20261011,0,269,199,102,0.2646276595744681,0.09392265193370165,162.678743718593,0.404577334809893,1.5246487066425685
relaxed_20260928/generated_validation_20261011,1,239,66,407,0.08776595744680851,0.3747697974217311,1236.2289393939393,1.1955879395432456,0.9680903114517976
relaxed_20260928/generated_validation_20261011,2,196,196,438,0.26063829787234044,0.40331491712707185,3364.629081632653,1.7980678842409186,0.8654142904250708
relaxed_20260928/generated_validation_20261011,3,116,116,139,0.15425531914893617,0.1279926335174954,4359.695,1.2614314456881233,0.5983685977063111
relaxed_20260928/generated_validation_20261011,4,175,175,0,0.2327127659574468,0.0,4313.034114285714,0.8292023005206202,
relaxed_20260928/generated_validation_20261012,0,268,202,102,0.32216905901116427,0.09392265193370165,465.854702970297,0.9439820597075359,1.3378014045311326
relaxed_20260928/generated_validation_20261012,1,249,74,407,0.11802232854864433,0.3747697974217311,1069.5335135135135,1.1096125953832856,1.0428074308203183
relaxed_20260928/generated_validation_20261012,2,187,187,438,0.2982456140350877,0.40331491712707185,3841.976631016043,2.0628184456626895,0.795502272929416
relaxed_20260928/generated_validation_20261012,3,101,101,139,0.16108452950558214,0.1279926335174954,3901.1245544554463,0.7940577085314292,0.7528070774662923
relaxed_20260928/generated_validation_20261012,4,63,63,0,0.10047846889952153,0.0,3412.594920634921,0.2606183337020419,
relaxed_20260929/generated_validation_20261011,0,170,128,102,0.11743119266055047,0.09392265193370165,156.87992187499998,0.589210503434484,1.4439823463044064
relaxed_20260929/generated_validation_20261011,1,209,60,407,0.05504587155963303,0.3747697974217311,1675.2463333333333,2.2478666929642803,0.8522029458947473
relaxed_20260929/generated_validation_20261011,2,231,231,438,0.21192660550458717,0.40331491712707185,4470.175930735932,3.13412870571222,0.46975775192139996
relaxed_20260929/generated_validation_20261011,3,294,294,139,0.26972477064220185,0.1279926335174954,3170.9488775510204,0.8784444874771806,0.47587553318082243
relaxed_20260929/generated_validation_20261011,4,377,377,0,0.3458715596330275,0.0,4019.097347480106,0.8914484615152237,
relaxed_20260929/generated_validation_20261012,0,153,110,102,0.1207464324917673,0.09392265193370165,320.4183636363636,0.8974967781202238,1.2920412679594842
relaxed_20260929/generated_validation_20261012,1,230,64,407,0.07025246981339188,0.3747697974217311,1852.5556250000002,1.238856633927277,1.1112349740733687
relaxed_20260929/generated_validation_20261012,2,263,263,438,0.28869374313940727,0.40331491712707185,4826.812585551331,2.681825988510461,0.5896514755927025
relaxed_20260929/generated_validation_20261012,3,299,299,139,0.32821075740944017,0.1279926335174954,3827.697424749163,0.8731102850061958,0.47927440456205544
relaxed_20260929/generated_validation_20261012,4,175,175,0,0.19209659714599342,0.0,4407.047942857143,0.764259204679636,
row_resampling/generated_validation_20261011,0,1166,1145,102,0.9913419913419913,0.09392265193370165,543.3317379912663,11.827873026650822,0.19194444729381327
row_resampling/generated_validation_20261011,1,10,10,407,0.008658008658008658,0.3747697974217311,695.9040000000001,11.875689877739521,0.45414573021020055
row_resampling/generated_validation_20261011,2,0,0,438,0.0,0.40331491712707185,,,
row_resampling/generated_validation_20261011,3,0,0,139,0.0,0.1279926335174954,,,
row_resampling/generated_validation_20261011,4,0,0,0,0.0,0.0,,,
row_resampling/generated_validation_20261012,0,1069,1058,102,0.9934272300469483,0.09392265193370165,524.3241871455576,10.996844252986227,0.18177228650640853
row_resampling/generated_validation_20261012,1,7,7,407,0.006572769953051643,0.3747697974217311,461.8042857142858,7.974554394591273,0.5632184718069648
row_resampling/generated_validation_20261012,2,0,0,438,0.0,0.40331491712707185,,,
row_resampling/generated_validation_20261012,3,0,0,139,0.0,0.1279926335174954,,,
row_resampling/generated_validation_20261012,4,0,0,0,0.0,0.0,,,
transition_resampling/generated_validation_20261011,0,103,87,102,0.09623893805309734,0.09392265193370165,403.72425287356316,8.016371798257195,0.2008245184067446
transition_resampling/generated_validation_20261011,1,338,285,407,0.31526548672566373,0.3747697974217311,517.5436140350877,8.724061810154526,0.11868634610435003
transition_resampling/generated_validation_20261011,2,275,275,438,0.30420353982300885,0.40331491712707185,530.0523272727273,5.704547576804557,0.1660944559264719
transition_resampling/generated_validation_20261011,3,224,224,139,0.24778761061946902,0.1279926335174954,509.3154017857143,1.9395727938262795,0.1596129416516298
transition_resampling/generated_validation_20261011,4,33,33,0,0.03650442477876106,0.0,588.8563636363635,1.295751922349679,
transition_resampling/generated_validation_20261012,0,107,96,102,0.0943952802359882,0.09392265193370165,364.8516666666667,5.921681117691835,0.4023366963234743
transition_resampling/generated_validation_20261012,1,347,316,407,0.3107177974434612,0.3747697974217311,583.2857594936709,11.16202501697474,0.20163951420104564
transition_resampling/generated_validation_20261012,2,271,271,438,0.2664700098328417,0.40331491712707185,616.392177121771,8.932820361053565,0.15668860411740715
transition_resampling/generated_validation_20261012,3,233,233,139,0.22910521140609635,0.1279926335174954,589.4330472103004,1.7193608029582672,0.17422822865239876
transition_resampling/generated_validation_20261012,4,101,101,0,0.09931170108161258,0.0,467.20039603960396,0.881510803748846,
