run,intervention,field,group,events,nll,accuracy,mean_fraud_probability,mean_true_probability
relaxed_20260928,shuffle_current_merchant,gap,positions_1_99,13485,4.339160613152642,0.05799035965888024,,0.01980373298540807
relaxed_20260928,shuffle_current_merchant,gap,positions_100_511,55454,4.439428670665509,0.03689544487322826,,0.015185125237399568
relaxed_20260928,shuffle_current_merchant,gap,fraud,714,4.670583482383012,0.025210084033613446,,0.014642094607254212
relaxed_20260928,shuffle_current_merchant,gap,normal,68225,4.417191084866648,0.041187248076218395,,0.01610369833159991
relaxed_20260928,shuffle_current_merchant,gap,fraud_onset,58,3.9924088963146867,0.06896551724137931,,0.025434520047414918
relaxed_20260928,shuffle_current_merchant,gap,fraud_continuation,656,4.730544040297589,0.021341463414634148,,0.013687886260410734
relaxed_20260928,shuffle_current_merchant,receiver_or_mark,all,69086,6.535749782249192,0.0023304287409894914,,0.0016096014102100875
relaxed_20260928,shuffle_current_merchant,receiver_or_mark,first,147,6.6983205169236575,0.0,,0.003317914514914852
relaxed_20260928,shuffle_current_merchant,receiver_or_mark,positions_1_99,13485,6.544392239954633,0.0025954764553207266,,0.0016671671628572114
relaxed_20260928,shuffle_current_merchant,receiver_or_mark,positions_100_511,55454,6.53321720677844,0.0022721534965917697,,0.0015910744112408867
relaxed_20260928,shuffle_current_merchant,receiver_or_mark,fraud,726,6.609627599394354,0.008264462809917356,,0.003518404254154281
relaxed_20260928,shuffle_current_merchant,receiver_or_mark,normal,68360,6.534965181675063,0.002267407840842598,,0.0015893294549043022
relaxed_20260928,shuffle_current_merchant,receiver_or_mark,fraud_onset,58,6.489987250032096,0.0,,0.001647482393309474
relaxed_20260928,shuffle_current_merchant,receiver_or_mark,fraud_continuation,656,6.626967730863792,0.009146341463414634,,0.0036157251549125617
relaxed_20260928,shuffle_current_merchant,amount_or_numeric_value,all,69086,4.5925788196316075,0.018223663260284285,,0.011993007342547603
relaxed_20260928,shuffle_current_merchant,amount_or_numeric_value,first,147,4.831850636167591,0.027210884353741496,,0.019153780988132467
relaxed_20260928,shuffle_current_merchant,amount_or_numeric_value,positions_1_99,13485,4.576414565406091,0.019206525769373376,,0.014192367255395775
relaxed_20260928,shuffle_current_merchant,amount_or_numeric_value,positions_100_511,55454,4.595875281765995,0.01796083240163018,,0.011439196938416999
relaxed_20260928,shuffle_current_merchant,amount_or_numeric_value,fraud,726,2.849391073429798,0.359504132231405,,0.15836089547747553
relaxed_20260928,shuffle_current_merchant,amount_or_numeric_value,normal,68360,4.611091901898175,0.01459918080748976,,0.010438544399511359
relaxed_20260928,shuffle_current_merchant,amount_or_numeric_value,fraud_onset,58,4.8508001031546755,0.017241379310344827,,0.008793461624259964
relaxed_20260928,shuffle_current_merchant,amount_or_numeric_value,fraud_continuation,656,2.6681850124945545,0.3902439024390244,,0.17201674734671332
relaxed_20260928,shuffle_current_merchant,category,all,69086,3.3380064691082842,0.10898011174478187,,0.09629789735564194
relaxed_20260928,shuffle_current_merchant,category,first,147,3.147081537565001,0.1564625850340136,,0.14347169665381357
relaxed_20260928,shuffle_current_merchant,category,positions_1_99,13485,3.3438973237853946,0.10782350760103819,,0.09769108867730175
relaxed_20260928,shuffle_current_merchant,category,positions_100_511,55454,3.3370800758745416,0.10913549969343961,,0.09583405825531709
relaxed_20260928,shuffle_current_merchant,category,fraud,726,2.605742510231135,0.21763085399449036,,0.1864253223857279
relaxed_20260928,shuffle_current_merchant,category,normal,68360,3.3457832923111046,0.10782621416032767,,0.09534072195230896
relaxed_20260928,shuffle_current_merchant,category,fraud_onset,58,3.0627875014625747,0.10344827586206896,,0.1046669138796178
relaxed_20260928,shuffle_current_merchant,category,fraud_continuation,656,2.5732985926400187,0.22713414634146342,,0.1921400792633704
relaxed_20260928,shuffle_current_merchant,event_is_fraud,all,69086,0.010856134363004429,0.9974379758561792,0.009899832547596485,0.9957660489319186
relaxed_20260928,shuffle_current_merchant,event_is_fraud,first,147,0.3728338898932498,0.8503401360544217,0.33253790445777837,0.7291278718989722
relaxed_20260928,shuffle_current_merchant,event_is_fraud,positions_1_99,13485,0.009740085296349106,0.9978494623655914,0.015596488229012152,0.996416979186401
relaxed_20260928,shuffle_current_merchant,event_is_fraud,positions_100_511,55454,0.01016798186906172,0.9977278465034082,0.007659287258984536,0.9963145759550757
relaxed_20260928,shuffle_current_merchant,event_is_fraud,fraud,726,0.8048014530563617,0.8209366391184573,0.7725069216307842,0.7725069216307842
relaxed_20260928,shuffle_current_merchant,event_is_fraud,normal,68360,0.00242423996026339,0.9993124634289058,0.0018007578449283418,0.9981371157315182
relaxed_20260928,shuffle_current_merchant,event_is_fraud,fraud_onset,58,6.08729571309583,0.0,0.006301011453740949,0.006301011453740949
