run,events,runs,runs_start_at_customer_boundary,runs_end_at_customer_boundary,events_after_twentieth_fraud,event_share_after_twentieth_fraud,mean_length,p90_length,max_length,standardization_real_band_coverage,ratio_log_w1,age_standardized_ratio_log_w1
order_category_relaxed_20260929/generated_validation_20261012,1234,157,43,13,212,0.17179902755267423,7.859872611464968,23.400000000000006,65,1.0,0.7025419592964317,0.7150389893647804
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,618,173,27,10,132,0.21359223300970873,3.5722543352601157,8.0,136,1.0,0.971390880025889,0.7472707252599009
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,469,160,28,10,37,0.07889125799573561,2.93125,8.0,44,1.0,0.9164902224101605,0.790510449377374
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,826,131,26,8,272,0.32929782082324455,6.305343511450381,16.0,107,1.0,0.8609327221820933,0.8452211942147139
order_event_is_fraud_relaxed_20260929/generated_validation_20261012,780,115,26,13,172,0.2205128205128205,6.782608695652174,19.0,58,1.0,0.8720154196611699,0.7319695885106026
relaxed_20260928/generated_validation_20261011,995,269,64,7,175,0.17587939698492464,3.6988847583643123,9.0,131,1.0,0.9570742112742145,0.8470223857331577
relaxed_20260928/generated_validation_20261012,868,268,60,12,63,0.07258064516129033,3.2388059701492535,9.0,58,1.0,0.9046721395155081,0.846155036602704
relaxed_20260929/generated_validation_20261011,1281,170,39,7,377,0.29430132708821233,7.535294117647059,21.099999999999994,115,1.0,0.8121925181512426,0.6478565890933017
relaxed_20260929/generated_validation_20261012,1120,153,42,14,175,0.15625,7.3202614379084965,20.0,67,1.0,0.7913281024086178,0.778912563581698
row_resampling/generated_validation_20261011,1176,1166,13,0,0,0.0,1.0085763293310464,1.0,2,0.46869244935543275,0.2913011034384204,
row_resampling/generated_validation_20261012,1076,1069,10,0,0,0.0,1.0065481758652948,1.0,2,0.46869244935543275,0.23400190688899442,
transition_resampling/generated_validation_20261011,973,103,15,3,33,0.03391572456320658,9.446601941747574,18.0,27,1.0,0.2322973360449237,0.10913856571095129
transition_resampling/generated_validation_20261012,1059,107,10,1,101,0.09537299338999056,9.897196261682243,20.0,42,1.0,0.20514733236889413,0.0964394895583198
