kappa,mode,tape,reference,group,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,null_centered_shape_l1,generated_repeat_level,reference_repeat_level
1,JOINT_BIN,20264504,raw,pooled,0.0149439817673393,0.0474660419430943,0.0040876144298686,0.0001465547092809,0.0053476968296319,0.0146172758860839,0.0199690685814801,0.0508625163377235,0.0,0.0096002176039668,0.0059167651225587,0.0046823326866482,0.0151509478048313,0.0035560843591609,0.3203398192640185,0.317738171690903
1,JOINT_BIN,20264504,raw,0,0.0157996620895103,0.0467762313562566,0.0053412096110241,1.8592451259137048e-06,0.0076305602241413,0.0145520843839178,0.019530022202956,0.0507907509788952,0.0,0.0091365005135025,0.0043098015164909,0.0032704068479356,0.015980419726708,0.0029461179459339,0.3228150270004948,0.3174738173894708
1,JOINT_BIN,20264504,raw,1,0.0559572587291824,0.1218425575937249,0.0193333376931303,0.0060803620453027,0.0157498509396544,0.0162661085324207,0.0311554120792818,0.0552193646069603,0.0,0.0293496569779405,0.0227212141623268,0.0242614993608965,0.0359627026949664,0.014112633666746,0.3009119792857378,0.320245316978868
1,JOINT_BIN,20264504,quantized,pooled,0.0149864874241172,0.0474861562836062,0.0042375189144803,0.0001716341587845,0.006142916007475,0.0146172758860839,0.0047209587065641,0.0047402604102045,0.0,0.0096002176039668,0.0059167651225587,0.0046823326866482,0.0151509478048313,0.0035738924339023,0.3203411249160383,0.317738171690903
1,JOINT_BIN,20264504,quantized,0,0.016022345911721,0.0467195202282118,0.0053175642588026,2.4146958471887425e-06,0.0038918833960312,0.0145520843839178,0.0039597663970866,0.0050355069222403,0.0,0.0091365005135025,0.0043098015164909,0.0032704068479356,0.015980419726708,0.0031152461775071,0.3227913816482733,0.3174738173894706
1,JOINT_BIN,20264504,quantized,1,0.0568259296759262,0.1230457230308868,0.0195608605954204,0.0059985628101662,0.0269573062382881,0.0162661085324207,0.0148898297847681,0.0195178275945361,0.0,0.0293496569779405,0.0227212141623268,0.0242614993608965,0.0359627026949664,0.0144314763930663,0.3017829843082663,0.320245316978868
1,JOINT_BIN,20264505,raw,pooled,0.0155408535275657,0.0455830548440468,0.003883649944313,3.888854043018145e-05,0.0095025314590259,0.0034073736390416,0.0211688381602763,0.0507452995425391,0.0,0.0101960426333862,0.0058029440845581,0.0092773062354618,0.0151509478048313,0.0038497779816302,0.3175725750779189,0.317738171690903
1,JOINT_BIN,20264505,raw,0,0.0158296320893957,0.0463942377418995,0.0031961330231044,4.685718400472712e-05,0.0104038947622612,0.0040420954801975,0.0210785261099506,0.0506571315035599,0.0,0.0091834272205462,0.0048889672605628,0.0083532041601196,0.015980419726708,0.0031006991008299,0.3170077851205756,0.3174738173894708
1,JOINT_BIN,20264505,raw,1,0.0588362313670481,0.1175006829043914,0.013391786548754,0.000218359001858,0.0010413223026198,0.0008637717380153,0.02487625552632,0.0531429054991528,0.0,0.0395761122933135,0.0213375747606571,0.0206082660053124,0.0359627026949664,0.012760619157952,0.3234624906212126,0.320245316978868
1,JOINT_BIN,20264505,quantized,pooled,0.0156884144503997,0.0457004787966697,0.0037649357449183,1.3809090926518962e-05,0.0019880813780809,0.0034073736390416,0.0037329195070014,0.0043499059779134,0.0,0.0101960426333862,0.0058029440845581,0.0092773062354618,0.0151509478048313,0.0037528617454384,0.3176859570465219,0.317738171690903
1,JOINT_BIN,20264505,quantized,0,0.0161905811248425,0.0464700340725896,0.003240075817836,4.258324303162467e-05,0.0011185488579113,0.0040420954801975,0.0033472617722801,0.0039037534192508,0.0,0.0091834272205462,0.0048889672605628,0.0083532041601196,0.015980419726708,0.0032325111100736,0.3171106998936177,0.3174738173894706
1,JOINT_BIN,20264505,quantized,1,0.0595382041199579,0.1186231537817346,0.0122580361538221,0.0003001582369944,0.0101661329960139,0.0008637717380153,0.0080896976149302,0.014651510588218,0.0,0.0395761122933135,0.0213375747606571,0.0206082660053124,0.0359627026949664,0.0109878606063866,0.3243904313251259,0.320245316978868
1,JOINT_BIN,20264506,raw,pooled,0.0138614888258731,0.0440163585441985,0.0031675145702346,1.6591606273458348e-06,0.0084095972154902,0.0004747568289611,0.0204177968314703,0.0507595755698351,0.0,0.010367845235912,0.0068962885057805,0.0062811604090173,0.0151509478048313,0.003114760819686,0.3170127418737339,0.317738171690903
1,JOINT_BIN,20264506,raw,0,0.0152187308563328,0.0451494748953302,0.0043636824063719,1.3807314037214322e-05,0.006770603978076,0.0010248670767858,0.0205646603576529,0.0507316778656191,0.0,0.0102661483769498,0.0059774771701137,0.0040554489976042,0.015980419726708,0.0033221658693461,0.3157413661124609,0.3174738173894708
