kappa,trial,name,variant,group,observed_repeat,predicted_repeat,repeat_mean_bias,repeat_brier,train_mean_brier,mark_nll,uniform_mark_nll,curve_l1
1,1,U,P,pooled,0.31773817169090296,0.3184685762047647,0.0007304045138617488,0.15839063529514913,0.21678207081612183,3.3230471696665447,4.1588830833596715,0.006118041334309496
1,1,U,P,0,0.3174738173894707,0.3171718243334509,0.0003019930560198003,0.16000352993154368,0.21668530928625124,3.3284204898242007,4.1588830833596715,0.007856133457061543
1,1,U,P,1,0.3202453169788681,0.33076701555759475,0.010521698578726646,0.14309388708370652,0.21769513517791528,3.272086416461436,4.1588830833596715,0.024741092073700826
1,1,G,A,pooled,0.31773817169090296,0.3169917798408268,0.0007463918500761335,0.15815250184934898,0.21678207081612183,3.322429789260609,4.1588830833596715,0.001394348497085598
1,1,G,A,0,0.3174738173894707,0.3166595393799414,0.0008142780095293234,0.15984912434029594,0.21668530928625124,3.3279703865717973,4.1588830833596715,0.0012388748905820869
1,1,G,A,1,0.3202453169788681,0.32014275980017404,0.00010255717869406267,0.14206167578528495,0.21769513517791528,3.2698825737774535,4.1588830833596715,0.007272747238642372
1,1,G,B,pooled,0.31773817169090296,0.3181220196830093,0.00038384799210633425,0.1582347274544298,0.21678207081612183,3.3226658435673175,4.1588830833596715,0.0020566698900292683
1,1,G,B,0,0.3174738173894707,0.3166595393799414,0.0008142780095293234,0.15984912434029594,0.21668530928625124,3.3279703865717973,4.1588830833596715,0.0012388748905820869
1,1,G,B,1,0.3202453169788681,0.331992233183274,0.011746916204405877,0.1429237318573243,0.21769513517791528,3.2723573752487183,4.1588830833596715,0.023826969476528233
1,1,G,P,pooled,0.31773817169090296,0.3181220196830093,0.00038384799210633425,0.1582347274544298,0.21678207081612183,3.3226658435673175,4.1588830833596715,0.0020566698900292683
1,1,G,P,0,0.3174738173894707,0.3166595393799414,0.0008142780095293234,0.15984912434029594,0.21668530928625124,3.3279703865717973,4.1588830833596715,0.0012388748905820869
1,1,G,P,1,0.3202453169788681,0.331992233183274,0.011746916204405877,0.1429237318573243,0.21769513517791528,3.2723573752487183,4.1588830833596715,0.023826969476528233
1,2,U,A,pooled,0.31773817169090296,0.3166526661936718,0.0010855054972311873,0.15814755643601286,0.21678207081612183,3.3222900691534054,4.1588830833596715,0.0015098899220183123
1,2,U,A,0,0.3174738173894707,0.3162010520324232,0.0012727653570475117,0.1598832487585502,0.21668530928625124,3.3277721110989664,4.1588830833596715,0.001496291925931896
1,2,U,A,1,0.3202453169788681,0.32093579043344406,0.0006904734545759572,0.1416861907452328,0.21769513517791528,3.2702981947720406,4.1588830833596715,0.008086956255438869
1,2,U,B,pooled,0.31773817169090296,0.3173293590705332,0.0004088126203697362,0.1582474147433462,0.21678207081612183,3.3225631518553373,4.1588830833596715,0.0022892360731902885
1,2,U,B,0,0.3174738173894707,0.3162010520324232,0.0012727653570475117,0.1598832487585502,0.21668530928625124,3.3277721110989664,4.1588830833596715,0.001496291925931896
1,2,U,B,1,0.3202453169788681,0.32803026183114364,0.007784944852275544,0.1427331086742128,0.21769513517791528,3.273161203212513,4.1588830833596715,0.028052135452046826
1,2,U,P,pooled,0.31773817169090296,0.3173293590705332,0.0004088126203697362,0.1582474147433462,0.21678207081612183,3.3225631518553373,4.1588830833596715,0.0022892360731902885
1,2,U,P,0,0.3174738173894707,0.3162010520324232,0.0012727653570475117,0.1598832487585502,0.21668530928625124,3.3277721110989664,4.1588830833596715,0.001496291925931896
1,2,U,P,1,0.3202453169788681,0.32803026183114364,0.007784944852275544,0.1427331086742128,0.21769513517791528,3.273161203212513,4.1588830833596715,0.028052135452046826
