family,kappa,index,variant,group,observed_repeat,predicted_repeat,repeat_mean_bias,repeat_brier,train_mean_brier,mark_nll,uniform_mark_nll,curve_l1
argn_continued,0,20260921,raw,1,0.31017932137857473,0.09126878529787064,0.2189105360807041,0.2514472648241417,0.21397090418691228,3.857901096343994,4.1588830833596715,0.21891053451184062
argn_continued,0,20260921,level,pooled,0.3119710563295204,0.3125943676417811,0.0006233113122607326,0.22295464678774918,0.21466778354492125,3.5930256060632986,4.1588830833596715,0.0006902240258472899
argn_continued,0,20260921,level,0,0.31215997750755603,0.31351491431380946,0.0013549368062534262,0.22285188801772618,0.21474220839988342,3.591624442350289,4.1588830833596715,0.0015186412202460925
argn_continued,0,20260921,level,1,0.31017932137857473,0.3038638713395693,0.00631545003900541,0.22392921449731362,0.21397090418691228,3.6063142909143044,4.1588830833596715,0.008051438847878433
argn_continued,0,20260921,gap,pooled,0.3119710563295204,0.31259507953352705,0.000624023204006674,0.22295429550960943,0.21466778354492125,3.593025445717627,4.1588830833596715,0.001186880844131096
argn_continued,0,20260921,gap,0,0.31215997750755603,0.3135192033614216,0.0013592258538655533,0.2228540759558622,0.21474220839988342,3.591629342523021,4.1588830833596715,0.0019441811274677591
argn_continued,0,20260921,gap,1,0.31017932137857473,0.3038306573620346,0.006348664016540162,0.22390478120467097,0.21397090418691228,3.606266136438021,4.1588830833596715,0.007053396434490949
argn_continued,0,20260921,direct,pooled,0.3119710563295204,0.31675150499628707,0.00478044866676669,0.21466981072598684,0.21466778354492125,3.55250570985035,4.1588830833596715,0.0047804486667199966
argn_continued,0,20260921,direct,0,0.31215997750755603,0.31727072060944145,0.005110743101885418,0.21474670328355627,0.21474220839988342,3.551495145273178,4.1588830833596715,0.005110743101834091
argn_continued,0,20260921,direct,1,0.31017932137857473,0.31182724626130504,0.0016479248827303006,0.21394055906507017,0.21397090418691228,3.562089939061361,4.1588830833596715,0.006558267712020637
U,0,0,raw,pooled,0.3119710563295204,0.31628304719924927,0.004311990869728888,0.15875829840086322,0.21466778354492125,3.347073793411255,4.1588830833596715,0.004311961250033853
