family,kappa,variant,group,entities,events,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,repeat_level_reference_weighted,reference_repeat_level,null_centered_shape_l1
U,0,raw,1,214.0,5110.0,0.05444048575796557,0.12688053073483035,0.018007815299644014,0.0005477024403501583,0.01148561274817296,0.009131067229315679,0.028400160486759123,0.0534328167537546,0.0,0.03877534411591965,0.043549187580648734,0.07229682690276196,0.03596270269496643,0.314319166156656,0.31017932137857473,0.012684851747674452
U,0,raw,pooled,2048.0,48920.0,0.017397922860143567,0.047639564770091014,0.010370908863878413,4.695066213456771e-05,0.016713856057978753,0.0029870501752830678,0.022283905010760868,0.0518024361359748,0.0,0.01176624903522242,0.04173694773403958,0.07098056861309905,0.015150947804831305,0.3209643371936511,0.3119710563295204,0.004827762487441962
U,1,direct,0,1834.0,43810.0,0.01733685863069219,0.04690429846098972,0.005183624036137531,4.607982553176737e-05,0.00723944771851022,0.003342655396462101,0.024145736834306653,0.0522680484654571,0.0,0.009629952372731485,0.04054811575839056,0.07032721093950749,0.015980419726708005,0.31782096033445845,0.3174738173894708,0.004352872349166227
U,1,direct,1,214.0,5110.0,0.060340549188993266,0.11690545579497076,0.011074876390563775,0.0051948695040561306,0.010298457817124967,0.017358813343922596,0.032759408268933136,0.05810042465096091,0.0,0.043135920944035094,0.054338128733136516,0.07907949140290614,0.03596270269496643,0.32417128302668435,0.32024531697886804,0.010940900531711753
U,1,direct,pooled,2048.0,48920.0,0.016535085046346796,0.04525107177221508,0.004516931677619238,8.295188749597379e-05,0.007009475096120256,0.0030620639510203344,0.02403496155850235,0.052374500043067866,0.0,0.010225112341785312,0.04153104889523895,0.0711155249513842,0.015150947804831305,0.3181856945761208,0.317738171690903,0.004457547849842751
U,1,gap,0,1834.0,43810.0,0.018331501166606288,0.04831584382807208,0.008074367123597659,0.00013638274469375612,0.007717002834406926,0.0033798083148274785,0.02418588212176273,0.05227331703970497,0.0,0.011972295461927322,0.0404286483172637,0.07036672664891308,0.015980419726708005,0.3187178218243086,0.3174738173894708,0.006473465841685569
U,1,gap,1,214.0,5110.0,0.06115753432446625,0.1244786570824581,0.027879864354845685,0.02049518200971278,0.01221501159799056,0.017207265189315583,0.033013058751784036,0.058135721694522934,0.0,0.04237048132599358,0.054176341599749496,0.07907562151576014,0.03596270269496643,0.3014215476972799,0.32024531697886804,0.02299201282746872
U,1,gap,pooled,2048.0,48920.0,0.017731222958063866,0.04559939995161852,0.006901961564065533,0.0004044613333169292,0.007277325142985379,0.0030651005842024797,0.02419078182589735,0.05240341460211381,0.0,0.012207409851243635,0.041439674288533374,0.0711446088077525,0.015150947804831305,0.3166458436482883,0.317738171690903,0.005386676796025014
U,1,level,0,1834.0,43810.0,0.018317164855986584,0.04832587567735997,0.008282555212170228,0.00014809997410111003,0.00778718897025409,0.003377618810719608,0.02417794107608583,0.0522624601345495,0.0,0.01187007661203361,0.04041284290406597,0.07036984460286026,0.015980419726708005,0.31887522510998484,0.3174738173894708,0.006899778331432733
U,1,level,1,214.0,5110.0,0.06017814428782505,0.12517563707726398,0.03552280353765659,0.026958883893582614,0.011983111793256536,0.017440797380744975,0.03274072759709994,0.05787680267434706,0.0,0.04204113981150267,0.05428691940713027,0.07898511579243897,0.03596270269496643,0.3000254649752955,0.32024531697886804,0.02896398470789417
U,1,level,pooled,2048.0,48920.0,0.017703327842766733,0.04570659564923246,0.006873149822236777,0.00035502240089859896,0.007311058264395674,0.0030751291579197595,0.024151668211514942,0.052366429246432145,0.0,0.012268734462854437,0.04143377841064611,0.07113922949558192,0.015150947804831305,0.316671433452788,0.317738171690903,0.005497654827737271
U,1,raw,0,1834.0,43810.0,0.01824986549070095,0.04845758249764348,0.008163373911177276,0.00013314287737354913,0.0075191035216509135,0.003364689557737725,0.024223851952304087,0.052315960719545,0.0,0.011734925090237401,0.0404151983694667,0.07036771564504714,0.015980419726708005,0.31422032836543995,0.3174738173894708,0.006550209945365658
U,1,raw,1,214.0,5110.0,0.06056399491279263,0.12484711723644022,0.03375144702860421,0.02650474771197879,0.012427576509273966,0.017390331918976997,0.03260456201975787,0.0578677176328811,0.0,0.04218961727060668,0.05425430362108983,0.07898474097963869,0.03596270269496643,0.3027422279421808,0.32024531697886804,0.028100653363954314
U,1,raw,pooled,2048.0,48920.0,0.017852183680734577,0.0458938765686332,0.00782811671331155,0.0003347705573621463,0.007167222967078416,0.0030888738592555576,0.02418722604277169,0.05242585620118459,0.0,0.012353426795065103,0.04143626736566611,0.07113661945295068,0.015150947804831305,0.31278766708684425,0.317738171690903,0.005351067149159553
argn_continued,0,direct,0,1834.0,43810.0,0.02139645343737237,0.06146084519027001,0.0059080028164148896,2.607755903488386e-05,0.01565745880690368,0.0055461722198932445,0.005599195025906283,0.03348115913680011,7.941045676894734e-06,0.01559047519900876,0.005375194465998138,0.012026779794211443,0.015980419726708005,0.3173936486032322,0.3121599775075561,0.003702823028465821
argn_continued,0,direct,1,214.0,5110.0,0.046938047130973354,0.1299852584687151,0.011912992507863221,0.0003591739921849309,0.017213678593793715,0.008743467820853787,0.01717619923740743,0.046139701111070186,0.0,0.028479798506366182,0.013098598850500886,0.02258425022103068,0.03596270269496643,0.3131997338558043,0.31017932137857473,0.009473093577691558
argn_continued,0,direct,pooled,2048.0,48920.0,0.0188482679049915,0.059601284312661436,0.005383218621610758,2.1123310065843803e-05,0.015811218927053446,0.004102927856534397,0.005619079512232099,0.03314573129461948,7.111566251351198e-06,0.013206971671269767,0.005356616367558871,0.01166019531970377,0.015150947804831305,0.31697577899726825,0.3119710563295204,0.0030089013038800197
