family,kappa,index,group,contrast,conditional_brier,conditional_mark_nll,conditional_curve_l1,generated_curve_l1
argn_continued,0,20260921,0,gap_minus_raw,-0.026153610304877506,-0.2459601598115735,-0.21426750882023682,0.020172013740218625
argn_continued,0,20260921,0,direct_minus_raw,-0.034260982977183524,-0.2860943570614163,-0.21110094684587052,-0.21485530494694938
argn_continued,0,20260921,0,direct_minus_gap,-0.008107372672306018,-0.040134197249842796,0.0031665619743662995,-0.235027318687168
argn_continued,0,20260921,1,level_minus_raw,-0.02751805032682811,-0.25158680542969014,-0.2108590956639622,0.010710207653472997
argn_continued,0,20260921,1,gap_minus_raw,-0.027542483619470814,-0.25163495990597307,-0.21185713807734968,0.010257065900729195
argn_continued,0,20260921,1,direct_minus_raw,-0.03750670575907161,-0.2958111572826332,-0.21235226679982,-0.20478672112141294
argn_continued,0,20260921,1,direct_minus_gap,-0.009964222139600798,-0.04417619737666012,-0.0004951287224702998,-0.21504378702214214
argn_continued,0,20260921,pooled,level_minus_raw,-0.02628573410855331,-0.24650104722649635,-0.2157788901596799,0.019132931970155864
argn_continued,0,20260921,pooled,gap_minus_raw,-0.026286085386692998,-0.24650120757216776,-0.21528223334139612,0.01909328338043534
argn_continued,0,20260921,pooled,direct_minus_raw,-0.03457057017031562,-0.28702094343944484,-0.21168866551880722,-0.21483495472748165
argn_continued,0,20260921,pooled,direct_minus_gap,-0.00828448478362262,-0.040519735867277085,0.0035935678225889004,-0.233928238107917
argn_continued,1,20260920,0,level_minus_raw,-0.09038333944263618,-0.6449903518139175,-0.29576760880455366,-0.270652076071736
argn_continued,1,20260920,0,gap_minus_raw,-0.09037879159931289,-0.6449773722201892,-0.2952594128386027,-0.2705215293659324
argn_continued,1,20260920,0,direct_minus_raw,-0.0881119156320759,-0.640368065423023,-0.2949937197668826,-0.29288285284519694
argn_continued,1,20260920,0,direct_minus_gap,0.0022668759672369865,0.004609306797166202,0.0002656930717200999,-0.022361323479264564
argn_continued,1,20260920,1,level_minus_raw,-0.09351313200509193,-0.6507165045014722,-0.14463352983301087,-0.14679941480702957
argn_continued,1,20260920,1,gap_minus_raw,-0.12379206077808982,-0.7275581980949721,-0.2909405612485544,-0.2811547478774413
argn_continued,1,20260920,1,direct_minus_raw,-0.12161260437743932,-0.7229106838941011,-0.29297797915182017,-0.2917600646976166
argn_continued,1,20260920,1,direct_minus_gap,0.002179456400650509,0.004647514200871061,-0.0020374179032658004,-0.010605316820175301
argn_continued,1,20260920,pooled,level_minus_raw,-0.09068186884875298,-0.6455362928519421,-0.2831511250788675,-0.2713589020145293
argn_continued,1,20260920,pooled,gap_minus_raw,-0.09356585374650359,-0.652853952425521,-0.2955364314244641,-0.2721987415956235
argn_continued,1,20260920,pooled,direct_minus_raw,-0.09130731613101839,-0.6482410012866571,-0.2952966547268458,-0.29335196644566275
argn_continued,1,20260920,pooled,direct_minus_gap,0.0022585376154851955,0.004612951138863952,0.00023977669761830007,-0.02115322485003924
argn_continued,1,20260921,0,level_minus_raw,-0.0656483262578414,-0.2939566468018957,-0.2404480296566702,-0.12101541944815386
argn_continued,1,20260921,0,gap_minus_raw,-0.06565673374570918,-0.293974864049404,-0.24192652272232829,-0.12233925770210219
argn_continued,1,20260921,0,direct_minus_raw,-0.04432860279134779,-0.2480328539292187,-0.24049239028760008,-0.24320177537637408
argn_continued,1,20260921,0,direct_minus_gap,0.021328130954361396,0.045942010120185284,0.0014341324347282,-0.12086251767427189
argn_continued,1,20260921,1,level_minus_raw,-0.06814682853645429,-0.3047177663261671,-0.11364275792479803,-0.07865898139810182
argn_continued,1,20260921,1,gap_minus_raw,-0.09310619274421819,-0.36777881285861325,-0.238678625144143,-0.17582417901193909
argn_continued,1,20260921,1,direct_minus_raw,-0.07905821840414609,-0.3396794391739788,-0.23949326522436293,-0.23592899281607796
argn_continued,1,20260921,1,direct_minus_gap,0.0140479743400721,0.028099373684634443,-0.0008146400802199003,-0.060104813804138894
argn_continued,1,20260921,pooled,level_minus_raw,-0.06588664122170301,-0.29498322820784395,-0.2331121374832084,-0.12200040276440438
argn_continued,1,20260921,pooled,gap_minus_raw,-0.06827494902021411,-0.3010146677411081,-0.2419445239470579,-0.12816326500266156
argn_continued,1,20260921,pooled,direct_minus_raw,-0.047641222179586024,-0.2567745441045717,-0.2408542553607192,-0.24397876738464586
argn_continued,1,20260921,pooled,direct_minus_gap,0.020633726840628086,0.0442401236365364,0.0010902685863387,-0.11581550238198426
argn_original,0,20260920,0,level_minus_raw,-0.080159314098952,-0.30401577161232707,-0.2442943613481263,-0.16142915698148402
argn_original,0,20260920,0,gap_minus_raw,-0.08015151153639019,-0.30399691823330777,-0.243429491912066,-0.16139760996141245
argn_original,0,20260920,0,direct_minus_raw,-0.045511692136060294,-0.22516992854081996,-0.2415764967937702,-0.2466349468382481
argn_original,0,20260920,0,direct_minus_gap,0.034639819400329896,0.0788269896924878,0.0018529951182957999,-0.08523733687683564
argn_original,0,20260920,1,level_minus_raw,-0.0792068276305509,-0.3044189256710359,-0.2402099891870515,-0.1583361951777043
argn_original,0,20260920,1,gap_minus_raw,-0.07923063917644091,-0.3044739434528032,-0.2412402470329202,-0.15769616449022422
argn_original,0,20260920,1,direct_minus_raw,-0.04656762276347201,-0.2295479279615873,-0.2398840843262419,-0.23995043747854253
argn_original,0,20260920,1,direct_minus_gap,0.0326630164129689,0.07492601549121591,0.0013561627066782994,-0.08225427298831829
argn_original,0,20260920,pooled,level_minus_raw,-0.08006846295975611,-0.30405387898195935,-0.244666058521119,-0.16112556978276088
argn_original,0,20260920,pooled,gap_minus_raw,-0.08006367584976282,-0.30404207166536024,-0.2439898845539627,-0.1610250643312761
argn_original,0,20260920,pooled,direct_minus_raw,-0.045612410102766315,-0.2255871690963307,-0.2418812175976299,-0.24727184171602234
argn_original,0,20260920,pooled,direct_minus_gap,0.0344512657469965,0.07845490256902954,0.0021086669563328,-0.08624677738474626
argn_original,0,20260921,0,level_minus_raw,-0.08421692379905868,-0.46300121970545716,-0.27416602472594886,-0.20097908504745765
argn_original,0,20260921,0,gap_minus_raw,-0.08421329173213968,-0.4629929677769673,-0.2737924034941918,-0.20073835842876114
argn_original,0,20260921,0,direct_minus_raw,-0.07099618321457249,-0.43636891993549387,-0.2714647145062313,-0.2742725391111132
argn_original,0,20260921,0,direct_minus_gap,0.013217108517567189,0.02662404784147343,0.0023276889879604995,-0.07353418068235207
argn_original,0,20260921,1,level_minus_raw,-0.08298085689562631,-0.4593770107328714,-0.2685040878611296,-0.2032005932141019
argn_original,0,20260921,1,gap_minus_raw,-0.0830035320261133,-0.45943543218597593,-0.2695633977328407,-0.20281615029894196
argn_original,0,20260921,1,direct_minus_raw,-0.07026494073434292,-0.43394532654965134,-0.2682870029075088,-0.2662490049916531
argn_original,0,20260921,1,direct_minus_gap,0.01273859129177038,0.02549010563632459,0.0012763948253319002,-0.06343285469271114
argn_original,0,20260921,pooled,level_minus_raw,-0.08409902387079232,-0.4626552176848242,-0.2743888545616833,-0.20123734152264228
argn_original,0,20260921,pooled,gap_minus_raw,-0.08409790106666373,-0.4626533252720568,-0.27418107635675765,-0.20098061141336432
argn_original,0,20260921,pooled,direct_minus_raw,-0.07092643501912693,-0.43613743638563207,-0.27162997829351443,-0.27493075899242986
argn_original,0,20260921,pooled,direct_minus_gap,0.0131714660475368,0.026515888886424754,0.0025510980632432,-0.0739501475790655
argn_original,1,20260920,0,level_minus_raw,-0.0910966567540793,-0.7060978424172246,-0.2993479715488352,-0.2978180669071445
argn_original,1,20260920,0,gap_minus_raw,-0.09109169269249959,-0.7060863410136227,-0.2988624125959598,-0.29760942386764805
argn_original,1,20260920,0,direct_minus_raw,-0.0911050542810348,-0.7061169508006411,-0.2987872487805797,-0.29768133656062246
argn_original,1,20260920,0,direct_minus_gap,-1.3361588535210078e-05,-3.060978701840966e-05,7.51638153801003e-05,-7.191269297443341e-05
argn_original,1,20260920,1,level_minus_raw,-0.09276093754398279,-0.715531714418081,-0.14246889863096898,-0.1396007704978469
argn_original,1,20260920,1,gap_minus_raw,-0.1250254758028195,-0.796387096339898,-0.2971213213329169,-0.2913076459514723
argn_original,1,20260920,1,direct_minus_raw,-0.1250568584962456,-0.7964703221355052,-0.2970187687701127,-0.2913698382724898
argn_original,1,20260920,1,direct_minus_gap,-3.138269342609079e-05,-8.322579560715582e-05,0.00010255256280419962,-6.219232101750162e-05
argn_original,1,20260920,pooled,level_minus_raw,-0.09125540106249808,-0.7069974372956098,-0.28535665045892383,-0.2853257209621849
argn_original,1,20260920,pooled,gap_minus_raw,-0.09432840308690099,-0.7146992722144345,-0.2991832598931174,-0.2967254275008052
argn_original,1,20260920,pooled,direct_minus_raw,-0.09434348358479949,-0.7147349006809613,-0.2991137682305604,-0.2968933292176385
argn_original,1,20260920,pooled,direct_minus_gap,-1.5080497898500855e-05,-3.562846652682694e-05,6.949166255700023e-05,-0.00016790171683326704
argn_original,1,20260921,0,level_minus_raw,-0.09272708748934008,-0.5663713336835139,-0.289825066820902,-0.2666376400747411
argn_original,1,20260921,0,gap_minus_raw,-0.09272277242263438,-0.5663605368585891,-0.2895206910196298,-0.2666526327580725
argn_original,1,20260921,0,direct_minus_raw,-0.08381642378700879,-0.5469238320192029,-0.2892379813800566,-0.2867058644172831
argn_original,1,20260921,0,direct_minus_gap,0.008906348635625588,0.0194367048393862,0.00028270963957319987,-0.0200532316592106
argn_original,1,20260921,1,level_minus_raw,-0.09489701673425419,-0.5732310340071001,-0.140436879926479,-0.13664868510256192
argn_original,1,20260921,1,gap_minus_raw,-0.12421707828877021,-0.6478993301811533,-0.2858192801925445,-0.27666045588013716
argn_original,1,20260921,1,direct_minus_raw,-0.1174291889384402,-0.6329900706364362,-0.28639344850241577,-0.28523890196866947
argn_original,1,20260921,1,direct_minus_gap,0.006787889350330006,0.014909259544717113,-0.0005741683098713004,-0.008578446088532268
argn_original,1,20260921,pooled,level_minus_raw,-0.0929340621293116,-0.5670260413243255,-0.27762472047592507,-0.2664002383276839
argn_original,1,20260921,pooled,gap_minus_raw,-0.095726797845617,-0.5741383700220819,-0.289604296136891,-0.2683290799755755
argn_original,1,20260921,pooled,direct_minus_raw,-0.0870225144841916,-0.5551335070789469,-0.2894238256825068,-0.28749421061879155
argn_original,1,20260921,pooled,direct_minus_gap,0.008704283361425397,0.01900486294313497,0.00018047045438419982,-0.019165130643216066
