family,kappa,index,variant,group,repeat_curve_mean,repeat_curve_tape_min,repeat_curve_tape_max,null_shape_mean,null_shape_tape_min,null_shape_tape_max,mark_tv_mean,passes_relation,passes_null_shape,passes_distribution_cost,passes_generation_screen,delta_gap_ks,delta_mark_sparse_tv,delta_amount_ks,delta_length_scaled_w1
argn_continued,0,20260921,gap,pooled,0.23938101305353499,0.2365852479971167,0.2426109373970696,0.004334893723169334,0.0037124495470045,0.0054785731361639,0.13721868821346697,False,True,False,False,0.0001544210246479,0.1265691881882464,-6.813845734532364e-06,0.0
argn_continued,0,20260921,level,0,0.24086413807328255,0.2381317556250557,0.2457039926166063,0.004775706817008466,0.0046536821500477,0.0049195399931727,0.11279681671865831,False,True,False,False,0.0001427955964639,0.1038447277597333,-1.5205541077553328e-05,0.0
argn_continued,0,20260921,level,1,0.22733825814031627,0.219242305441061,0.2338795064083065,0.0141368431906512,0.0100089083510526,0.0162425079463977,0.0990814824593577,False,True,False,False,0.0002885700866129,0.0719350141193391,0.0003217990879247,0.0
argn_continued,0,20260921,level,pooled,0.2394206616432555,0.2371291095226678,0.2428935084432245,0.005265382981694767,0.005157000914246,0.00547078100691,0.13793414201559293,False,True,False,False,0.0001544210246479,0.1272846419903723,-6.813845734532364e-06,0.0
argn_continued,0,20260921,raw,0,0.2206958181468008,0.2189363573787573,0.2223720380402346,0.002426070166950367,0.0020916540062236,0.0029493340124001,0.008952088958924935,False,True,True,False,0.0,0.0,0.0,0.0
argn_continued,0,20260921,raw,1,0.21662805048684328,0.2067091316879424,0.2338924341404862,0.007916948302383634,0.0051742271135515,0.0131464441758581,0.027146468340018534,False,True,True,False,0.0,0.0,0.0,0.0
argn_continued,0,20260921,raw,pooled,0.22028772967309965,0.2176556762083836,0.2235813948421257,0.0020541520258932334,0.001374746523204,0.0025909453978913,0.010649500025220632,False,True,True,False,0.0,0.0,0.0,0.0
argn_continued,1,20260920,direct,0,0.0044142798578768,0.0026822971120438,0.0065265429375006,0.004422918473700667,0.0027229324158913,0.0065035466774929,0.0161489136572918,True,True,True,True,-2.8228751252443868e-06,0.0049363753515299,1.5217225899736946e-05,0.0
argn_continued,1,20260920,direct,1,0.009502962137091167,0.0039494881139357,0.0177732062199971,0.008696820795851667,0.0027772137243284,0.0171570661214945,0.0217637010262117,True,True,True,True,-9.327627976581446e-05,0.0040542834690595,0.000435635556949,0.0
argn_continued,1,20260920,direct,pooled,0.004334604271586333,0.0033463542426868,0.0051268194927934,0.004355919207168066,0.0032209889391032,0.0053410303742393,0.015759307845633435,True,True,True,True,-7.477316476271322e-05,0.0059345360832883,6.813845734532364e-06,0.0
argn_continued,1,20260920,gap,0,0.026775603337141365,0.0235530513483845,0.029176996267961,0.003488961751172267,0.0004766245922682,0.0067365549091807,0.03086558022532933,True,True,False,False,3.0838294848622994e-05,0.0196530419195675,0.0,0.0
argn_continued,1,20260920,gap,1,0.020108278957266468,0.0155982237447384,0.0228622686890804,0.011034789752085966,0.0084489316967688,0.0161383246802963,0.0348701965056312,True,True,False,False,-5.5533697898717954e-05,0.017160778948479,0.0001006434731632,0.0
argn_continued,1,20260920,gap,pooled,0.02548782912162557,0.0218346788491512,0.0282041430113482,0.003956757137484866,0.0019345006344652,0.0053596499151908,0.0323353797630825,True,True,False,False,3.5557831256749495e-05,0.0225106080007373,0.0,0.0
argn_continued,1,20260920,level,0,0.026645056631337732,0.0232244480468235,0.029304254617979,0.0031337408909534333,0.0017753326744306,0.0052844559401318,0.030842754386479765,True,True,False,False,0.0001158605652982,0.0196302160807179,0.0,0.0
argn_continued,1,20260920,level,1,0.15446361202767822,0.1511567615687234,0.1605501366924593,0.15906503963284557,0.1551726732651384,0.164816406021789,0.03492628548992973,False,True,False,False,-0.0005762551559743,0.0172168679327775,0.0002402492051074,0.0
argn_continued,1,20260920,level,pooled,0.02632766870271977,0.0233424354227722,0.0289576897406596,0.0159542493679036,0.0143748616451853,0.0179382198695176,0.03217866131118823,True,True,False,False,-7.111566251364991e-06,0.0223538895488431,0.0,0.0
argn_continued,1,20260920,raw,0,0.29729713270307373,0.2967942206469025,0.2978036224839194,0.002011807548404533,0.0011857561286665,0.0025432307478054,0.011212538305761766,False,True,True,False,0.0,0.0,0.0,0.0
argn_continued,1,20260920,raw,1,0.3012630268347078,0.3007282750424069,0.3016478421666833,0.16006250359913246,0.1598550060035827,0.1602643382938966,0.0177094175571522,False,True,True,False,0.0,0.0,0.0,0.0
argn_continued,1,20260920,raw,pooled,0.2976865707172491,0.297250187215139,0.2980859400522913,0.015630941639879267,0.0153937783989758,0.0160719398786023,0.0098247717623451,False,True,True,False,0.0,0.0,0.0,0.0
argn_continued,1,20260921,direct,0,0.006383368280598267,0.0046319076316772,0.0082150226112992,0.0063517413349608335,0.0048813200284338,0.007995459279697,0.0160332202856001,True,True,True,True,0.0003055180991831,0.0060742897654135,2.0958061026385075e-05,0.0
argn_continued,1,20260921,direct,1,0.014994220763056032,0.0120998281424315,0.0184062773252738,0.010935765358386133,0.0089353397778598,0.0138288347931066,0.03430154754758203,True,True,True,True,-0.004472927113501,0.0020423974382085,-0.000151706951142,0.0
argn_continued,1,20260921,direct,pooled,0.005698472433028467,0.003888534987088,0.0067023647363277,0.005770146296713766,0.0041309644956544,0.006678623272377,0.014504465311977868,True,True,True,True,-0.0007293343457469,0.0031063497196963,6.813845734532364e-06,0.0
argn_continued,1,20260921,gap,0,0.12724588595487016,0.1243444093263708,0.129011515728671,0.005539845906694333,0.0050015353639733,0.0060177991494357,0.0409107318695138,False,True,False,False,0.0007054839045168,0.0309518013493272,3.804306474926821e-05,0.0
argn_continued,1,20260921,gap,1,0.07509903456719492,0.0672717505279671,0.0812860715474617,0.0162083367749867,0.011851107293611,0.019504613650464,0.05857880181428274,False,True,False,False,-0.0045434471035264,0.0263196517049092,-0.0002732108593273,0.0
argn_continued,1,20260921,gap,pooled,0.12151397481501273,0.1182027765159021,0.1237564480164527,0.0053329840696674,0.0041299254247399,0.0065958028445851,0.04834894921611377,False,True,False,False,-0.000582909045618,0.0369508336238321,-6.813845734532364e-06,0.0
argn_continued,1,20260921,level,0,0.1285697242088185,0.1240488706401606,0.1313731474552236,0.0071130361616461675,0.0055936496580667,0.0086238908429606,0.041062904128511,False,True,False,False,0.0008168921928104,0.0311039736083244,3.804306474926821e-05,0.0
argn_continued,1,20260921,level,1,0.17226423218103218,0.1662625113545381,0.1802273111311604,0.15680820595673126,0.149953744680101,0.1606151730800956,0.06936438846213751,False,True,False,False,-0.0040042719011179,0.037105238352764,-0.000323282570719,0.0
argn_continued,1,20260921,level,pooled,0.12767683705326993,0.1225110748597677,0.1304148473538616,0.011569217995810566,0.0086327518952173,0.0132787286405663,0.0504067306279426,False,True,False,False,-0.0007015623797282,0.039008615035661,-6.813845734532364e-06,0.0
argn_continued,1,20260921,raw,0,0.24958514365697235,0.2480177381810491,0.2508744340211113,0.0019792786161598333,0.0009562977288887,0.0030936035575053,0.009958930520186466,False,True,True,False,0.0,0.0,0.0,0.0
argn_continued,1,20260921,raw,1,0.250923213579134,0.2482223388729385,0.2555851812468527,0.15953687801360514,0.156243131473541,0.1618788898499087,0.032259150109373504,False,True,True,False,0.0,0.0,0.0,0.0
argn_continued,1,20260921,raw,pooled,0.2496772398176743,0.2487601668140771,0.2505950026358164,0.015224989756263366,0.0146151941965031,0.0160931189430058,0.011398115592281599,False,True,True,False,0.0,0.0,0.0,0.0
argn_original,0,20260920,direct,0,0.006092191949263467,0.005505389370574,0.0064912095475125,0.0031305921066628662,0.0025034540779979,0.0040043751532455,0.014534096756679299,True,True,True,True,-0.0007202523405438,0.006490637916256,-0.0001869674556777,0.0
argn_original,0,20260920,direct,1,0.0110624501763529,0.0077965495068656,0.01507986473184,0.007744752027706466,0.0045060837260633,0.0126207009228521,0.029886927774639898,True,True,False,False,0.0001779474687163,0.0102040947292106,-0.0010594900769586,0.0
argn_original,0,20260920,direct,pooled,0.0052843199682308,0.0045002846846603,0.0066197756354205,0.0023601112602205667,0.0018514074071311,0.0029189361396357,0.0129565628509052,True,True,True,True,-0.0011967182311819,0.0034500878245705,-0.0001909163040128,0.0
