dataset,variant,comparison,candidate,reference,passed,action_improvement,amount_improvement,failed_checks,gap_tv_cost,mark_tv_cost,root_tv_cost,amount_ks_cost,mark_nll_cost,repeat_brier_cost,amount_log_mae_cost
sparkov,raw,amount_with_full_action,U_both,U_action,False,-0.011390841194232976,0.1117415864342333,"gap_tv,action_relation",0.024183700066958646,-0.0076420312937701615,-0.006665891501795775,-0.037107421976129706,0.0011661189448597398,8.309266949155236e-08,-0.11862875936575579
sparkov,raw,combined_vs_original,U_both,U,False,0.0023227024009912778,0.10477134420076577,action_relation,-0.0011016251386242806,-0.003143843256056475,-0.004918943922470841,-0.04591156540085506,0.00830965549981233,3.954943815142817e-07,-0.11709526490685662
sparkov,raw,repeat_structure_vs_direct,U_both,D_both,False,-0.06826952022401825,-0.0014450903642404256,"mark_nll,action_relation",-0.009877638655510779,-0.005112792674504242,0.0005431547512295409,0.0003526974595536303,0.20796156490260387,1.071903930277042e-06,2.555848515406467e-05
sparkov,raw,external_candidate,U_both,original + D_both + Transition,False,-0.07886020063945981,-0.03517360515239494,"combined,direct_comparison,transition_level",,,,,,,
sparkov,raw,amount_only,G_amount,G,False,-0.024188824295915234,0.10780779088307783,"gap_tv,action_relation",0.056575777688533495,0.0004135075829632892,0.0005350795894762152,-0.057996312873749095,0.0005247767738012499,-1.220886446566885e-06,-0.11623037719431384
sparkov,raw,action_with_legacy_amount,G_action,G,False,-0.009309042989333799,0.0008895829795415866,"gap_tv,action_relation",0.02884011399747973,0.006556922266826581,0.008658558929054847,-0.003726412414321187,0.006257005856752151,6.975314885194518e-07,0.0023197302098689754
sparkov,raw,action_with_new_amount,G_both,G_amount,False,-0.0020700020816487585,-0.024197526172484454,"root_tv,amount_ks,action_relation,amount_relation",-0.008017616174195302,0.009067410164952695,0.012803315076635818,0.014528094209540127,0.004280965541203052,1.7703624454259992e-06,0.006494087758903588
sparkov,raw,amount_with_full_action,G_both,G_action,False,-0.016949783388230194,0.08272068173105179,"gap_tv,action_relation",0.01971804751685846,0.002923995481089403,0.004679835737057186,-0.03974180624988778,-0.0014512635417478492,-1.4805548966033769e-07,-0.11205601964527923
sparkov,raw,combined_vs_original,G_both,G,False,-0.026258826377563993,0.08361026471059338,"gap_tv,root_tv,action_relation",0.04855816151433819,0.009480917747915985,0.013338394666112034,-0.04346821866420897,0.004805742315004302,5.494759988591141e-07,-0.10973628943541025
sparkov,raw,repeat_structure_vs_direct,G_both,D_both,False,-0.1000364370026964,-0.018249828386522712,"gap_tv,root_tv,mark_nll,action_relation,amount_relation",0.04742642127971504,0.004385475208576489,0.01474069107834956,0.005598985088064307,0.20386289044285189,1.7179210026457142e-06,0.007150216875869808
