dataset,model,variant,generation_seed,reused,gap_tv,mark_tv,root_tv,root_amount_joint_tv,merchant_amount_joint_tv,gap_root_transition_joint_tv,unambiguous_gap_root_transition_tv,amount_ks,length_ks,generated_events,generated_entities,generated_max_length,unknown_mark_rate,unknown_root_rate,invalid_amount_rate,invalid_gap_rate,noninteger_gap_rate,generated_unambiguous_fraction,daily_gap_mark_joint_tv,daily_gap_count_joint_tv
berka,Transition,raw,20261022,True,0.02088193812256977,0.05178562625722655,0.05178562625722655,0.056884216638361323,0.056884216638361323,0.21382248429148723,0.25559233042419993,0.021004178762904946,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.4602932952215249,0.0949768514592555,0.1066937495770166
berka,ARGN,raw,20261021,True,0.05673186115721142,0.013500571915643205,0.013500571915643205,0.21236740548555022,0.21236740548555022,0.11453483562374858,0.15510765875947422,0.13946256565421258,0.06813657407407409,31678,128,554,0.0,0.0,0.0,0.0,0.0,0.3465610142630745,0.08581715010129298,0.06290902813741783
berka,ARGN,raw,20261022,True,0.07446267300296146,0.033311649639784516,0.033311649639784516,0.224573150611108,0.224573150611108,0.13446479246230297,0.15296722315434913,0.1379062482910583,0.06649305555555551,29958,128,569,0.0,0.0,0.0,0.0,0.0,0.315420717398592,0.0909057360269139,0.0835964888094821
berka,CPAR_tail,raw,20261021,True,0.17049202711258826,0.03554631279541346,0.03554631279541346,0.47021417369242874,0.47021417369242874,0.4544655182952128,0.4565067619393556,0.24736600618240495,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.5215311004784688,0.261953283150879,0.23424127585393012
berka,CPAR_tail,raw,20261022,True,0.17866328169532603,0.03696984439162562,0.03696984439162562,0.47145202725435226,0.47145202725435226,0.4618695706753905,0.4587002380817575,0.25253404480343605,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.5325918101037719,0.26851524863058673,0.23492735991749647
berka,U_amount,raw,20261021,False,0.06798798537207906,0.07484219065923896,0.07484219065923896,0.23373359099770416,0.23373359099770416,0.21624117443517304,0.20536244895750838,0.15063569884053485,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.3900142919281675,0.14759072407787727,0.09879834960294401
berka,U_amount,raw,20261022,False,0.07556892118267994,0.05726467007992349,0.05726467007992349,0.2137175577473563,0.2137175577473563,0.20295222614985747,0.17603645541787188,0.12773540794494775,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.39908655937364074,0.15594423164852916,0.1104875426801365
berka,U_amount,gap,20261021,False,0.07252411909481567,0.057914543199933395,0.057914543199933395,0.21508628310840144,0.21508628310840144,0.20940861108615685,0.18877005411464015,0.13259076156544347,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.3925619834710744,0.14659241644529128,0.1045066817126007
berka,U_amount,gap,20261022,False,0.08103713717721173,0.05160900457255738,0.05160900457255738,0.21234281726170756,0.21234281726170756,0.21143898685491552,0.16613020037077608,0.1218556035258106,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.3983719629652644,0.15911380375629466,0.112980741911206
berka,G_amount,raw,20261021,False,0.0820253516387332,0.07332904047823269,0.07332904047823269,0.2158636383983346,0.2158636383983346,0.22537314598566885,0.20847608844121357,0.08829122806239156,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.3712794382650842,0.15984152322645911,0.11294550116723166
