dataset,model,variant,metric,original,amount_only,action_only,both,amount_effect_at_old_action,amount_effect_at_new_action,action_effect_at_old_amount,action_effect_at_new_amount,descriptive_interaction
berka,G,raw,root_amount_joint_tv,0.30118502710653433,0.2241060591213978,0.3387444643153733,0.2387859828861031,-0.07707896798513653,-0.09995848142927022,0.037559437208838975,0.014679923764705283,-0.022879513444133692
berka,G,raw,amount_ks,0.09106719736947405,0.09523198190604037,0.12203468082204294,0.09629085670632298,0.004164784536566324,-0.02574382411571996,0.03096748345256889,0.0010588748002826054,-0.029908608652286284
berka,G,raw,mark_tv,0.0672480848552829,0.0725089624934583,0.11248718091955981,0.06330242662665134,0.0052608776381753986,-0.04918475429290847,0.04523909606427691,-0.009206535866806961,-0.05444563193108387
berka,G,raw,root_tv,0.0672480848552829,0.0725089624934583,0.11248718091955981,0.06330242662665134,0.0052608776381753986,-0.04918475429290847,0.04523909606427691,-0.009206535866806961,-0.05444563193108387
berka,G,gap,daily_gap_mark_joint_tv,0.2065803331853544,0.16560015510167733,0.21080796972423094,0.11740500400435515,-0.04098017808367707,-0.09340296571987579,0.004227636538876534,-0.048195151097322184,-0.05242278763619873
berka,G,gap,root_amount_joint_tv,0.30069838007015925,0.2280747083948167,0.34122017143922045,0.23695853689953433,-0.07262367167534256,-0.10426163453968612,0.0405217913690612,0.008883828504717639,-0.03163796286434356
berka,G,gap,amount_ks,0.09205402748449382,0.0952113169253456,0.12348951226487087,0.09616707135013061,0.0031572894408517793,-0.02732244091474026,0.031435484780377054,0.0009557544247850158,-0.03047973035559204
berka,G,gap,mark_tv,0.07069860165914502,0.07342187949537697,0.11556634165484483,0.062095519403775806,0.002723277836231955,-0.05347082225106903,0.04486773999569982,-0.011326360091601165,-0.056194100087301
berka,G,gap,root_tv,0.07069860165914502,0.07342187949537697,0.11556634165484483,0.062095519403775806,0.002723277836231955,-0.05347082225106903,0.04486773999569982,-0.011326360091601165,-0.056194100087301
sparkov,U,raw,gap_root_transition_joint_tv,0.15862098282163764,0.15088828925135445,0.1449074392264134,0.15629828042064636,-0.0077326935702831945,0.011390841194232976,-0.013713543595224253,0.005409991169291917,0.01912353476451617
sparkov,U,raw,root_amount_joint_tv,0.18869651063552872,0.08776999339647194,0.19566675286899626,0.08392516643476296,-0.10092651723905678,-0.1117415864342333,0.0069702422334675385,-0.003844826961708986,-0.010815069195176524
sparkov,U,raw,amount_ks,0.0834559684990061,0.04316929876291323,0.07465182507428075,0.03754440309815105,-0.04028666973609288,-0.037107421976129706,-0.008804143424725352,-0.005624895664762181,0.003179247759963172
sparkov,U,raw,mark_tv,0.05703194933379866,0.05317457202826076,0.06153013737151235,0.053888106077742186,-0.0038573773055379026,-0.0076420312937701615,0.0044981880377136865,0.0007135340494814277,-0.003784653988232259
sparkov,U,raw,root_tv,0.028050129968631862,0.022714646524192462,0.029797077547956796,0.02313118604616102,-0.0053354834444394005,-0.006665891501795775,0.001746947579324934,0.00041653952196855915,-0.0013304080573563748
sparkov,U,gap,gap_root_transition_joint_tv,0.15868108913357531,0.15091422570550053,0.1448970974066492,0.15625374545377568,-0.007766863428074783,0.011356648047126494,-0.013783991726926126,0.005339519748275151,0.019123511475201277
sparkov,U,gap,root_amount_joint_tv,0.18872983912108232,0.08836678496818466,0.19570311121687295,0.08391910671011685,-0.10036305415289766,-0.1117840045067561,0.006973272095790628,-0.004447678258067814,-0.011420950353858428
sparkov,U,gap,amount_ks,0.08346505808597526,0.04367225590854057,0.07463970562498853,0.03753531351118186,-0.039792802177434694,-0.03710439211380667,-0.00882535246098673,-0.006136942397358708,0.0026884100636280217
sparkov,U,gap,mark_tv,0.05701074029753726,0.05321444437776729,0.061537746045757666,0.053857252112240184,-0.0037962959197699736,-0.007680493933517482,0.004527005748220403,0.0006428077344728944,-0.0038841980137475085
sparkov,U,gap,root_tv,0.028056189693277975,0.022751004872069144,0.02981525672189512,0.023131186046161024,-0.005305184821208831,-0.006684070675734094,0.001759067028617143,0.00038018117409188007,-0.0013788858545252629
sparkov,G,raw,gap_root_transition_joint_tv,0.16180637082176053,0.18599519511767576,0.17111541381109432,0.18806519719932452,0.024188824295915234,0.016949783388230194,0.009309042989333799,0.0020700020816487585,-0.00723904090768504
sparkov,G,raw,root_amount_joint_tv,0.18434016916763862,0.07653237828456079,0.18345058618809704,0.10072990445704524,-0.10780779088307783,-0.08272068173105179,-0.0008895829795415866,0.024197526172484454,0.025087109152026055
sparkov,G,raw,amount_ks,0.08625890939087069,0.028262596517121596,0.0825324969765495,0.04279069072666172,-0.057996312873749095,-0.03974180624988778,-0.003726412414321187,0.014528094209540127,0.018254506623861314
