kappa,trial,name,variant,tape,group,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,null_centered_shape_l1,generated_repeat_level,reference_repeat_level
1,0,U,raw,20263002,pooled,0.014214923564270277,0.04672022326766073,0.009788627127722058,0.00025297255910142723,0.016460947759644406,0.003909958770404193,0.021574197436603382,0.05109183287429084,0.0,0.0094599848747795,0.03413480603708069,0.06588956599247535,0.015150947804831307,0.005730259939661165,0.3091632081680447,0.317738171690903
1,0,U,raw,20263002,0,0.017133286171201238,0.04895048549077733,0.01122198234387654,0.00010025993448182352,0.01967742119644353,0.0036443127123586,0.021650281398686966,0.05110006532249026,0.0,0.010334587302835877,0.0318025026807327,0.06478203294050766,0.015980419726708005,0.006245106317897754,0.3082508076129695,0.3174738173894708
1,0,U,raw,20263002,1,0.05951607368288594,0.12437127655054211,0.02834236446824713,0.025254849923826178,0.010955454885135399,0.007311506005449156,0.026944295761546166,0.052046067005861625,0.0,0.035963348307341964,0.0579283112773612,0.07694450958353324,0.03596270269496643,0.02732757454863046,0.315507419816039,0.32024531697886804
1,0,U,raw,20263003,pooled,0.015821659092631883,0.049377831484111526,0.006156177694713752,4.1038975956566616e-05,0.004104606294271854,0.005848087219136018,0.02069947478768719,0.050615579429379796,0.0,0.009653280504952124,0.03684972160364364,0.0651548022957596,0.015150947804831307,0.002195830598639977,0.3115819939961892,0.317738171690903
1,0,U,raw,20263003,0,0.016613610791174068,0.04945503639327309,0.006870019214716404,3.6504120677093564e-05,0.006071351530130553,0.004014170326818978,0.02062588650636754,0.05058509393555065,0.0,0.01049468258874767,0.03684806931291368,0.06565178292333408,0.015980419726708005,0.004926242198086393,0.31244965290942495,0.3174738173894708
1,0,U,raw,20263003,1,0.048252811210712225,0.12085442901028003,0.04491224963372098,0.038505690394419534,0.013425450414073031,0.02264913177555624,0.024842679333360373,0.052278774862496415,0.0,0.025169235800506895,0.04236416818994515,0.06153284353734723,0.03596270269496643,0.04327193029966481,0.3038645013727523,0.32024531697886804
1,0,U,gap,20263001,pooled,0.02059546221099832,0.04899796977125776,0.0027329326145365323,0.0002038788546678558,0.009440866609093226,0.008779853180438887,0.022807283091924313,0.05164210691545753,0.0,0.01553104669145178,0.036125023105512244,0.06604013842474596,0.015150947804831307,0.0024625983115856166,0.31638153152499493,0.317738171690903
1,0,U,gap,20263001,0,0.020786349694426894,0.05091073550681218,0.0039157062995553125,5.1735537792316016e-05,0.013828057042333183,0.009519801114484125,0.022303749360892855,0.05204605236682247,0.0,0.014976211785359916,0.03501469396367607,0.0657199264448734,0.015980419726708005,0.0038149558188747597,0.3179740187743962,0.3174738173894708
1,0,U,gap,20263001,1,0.05977005295469125,0.12224286768746666,0.026082514401992586,0.016401637468034858,0.032860713334988675,0.003424213793045113,0.027559124054039152,0.05421613407076267,0.0,0.04401575958777845,0.049040590839527054,0.07351423996273188,0.03596270269496643,0.024253791326143543,0.3026792551886515,0.32024531697886804
1,0,U,gap,20263002,pooled,0.014424652207632586,0.045885766556521934,0.005755638625315743,0.00017361147331471267,0.015927686041512845,0.00390879280515977,0.021531528039095305,0.05106061382419972,0.0,0.010067406316747712,0.03437878183758486,0.06598804883387081,0.015150947804831307,0.005816110541557112,0.3205268024960584,0.317738171690903
