kappa,trial,name,variant,group,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,null_centered_shape_l1,generated_repeat_level,reference_repeat_level
0,1,G,raw,pooled,0.019765428641193444,0.04662555924584392,0.00610053127178106,3.056952632191082e-05,0.022712921591589566,0.005575655475341237,0.028469519909796664,0.055667823870882704,0.0,0.014087690305591748,0.033901543888728645,0.06534571159149918,0.015150947804831305,0.003084652000036882,0.3177577365218344,0.3119710563295204
0,1,U,direct,0,0.016968158251188758,0.04687576597000728,0.008210045600273781,2.137568610863774e-05,0.02664784745644877,0.005929286614989076,0.028365466955790137,0.05542138324928517,0.0,0.009596765350950118,0.03399030861567411,0.0657721335330531,0.015980419726708005,0.003934742274424834,0.32037002310782986,0.3121599775075561
0,1,U,direct,1,0.047619558752170686,0.12248384657876203,0.009676851623262945,7.494889944233896e-05,0.011233657827989055,0.006775867704149012,0.03498799517214465,0.05755684319694374,0.0,0.02447953297961436,0.035360812601869664,0.062087093277578026,0.03596270269496643,0.009874557272146344,0.31359681341465084,0.31017932137857473
0,1,U,direct,pooled,0.016542165436690796,0.04425814532512079,0.007699383237902309,1.8562917173151666e-05,0.023609382860656388,0.005454464945003412,0.028341511717272356,0.055485089954034804,0.0,0.009188920303954615,0.033748248863194184,0.06527947114673414,0.015150947804831305,0.003538849653035202,0.3196704395674227,0.3119710563295204
0,1,U,gap,0,0.017978729422174655,0.04892693991489153,0.009437935002839223,3.362902623544843e-05,0.02647573874054952,0.005952957010506107,0.02825429231631364,0.05546787119364718,0.0,0.012559777340055806,0.03425530787748804,0.06581248006103886,0.015980419726708005,0.003921556740248064,0.3215979125103953,0.3121599775075561
0,1,U,gap,1,0.059579596667065395,0.12997624115970147,0.017033902139136536,0.00025394155694995977,0.014170170539833701,0.006488312181018858,0.03539649190417079,0.05762110438182504,0.0,0.039813786238963554,0.03603141349824329,0.062366751585853315,0.03596270269496643,0.014001776390169808,0.3215099990888683,0.31017932137857473
0,1,U,gap,pooled,0.020351002402001894,0.04689099378538395,0.009624344995626812,3.8442068085788854e-05,0.02319925459476888,0.005534040526558141,0.02825617292225611,0.055514203064326216,0.0,0.01463181788524976,0.03397652259739655,0.06535205689177219,0.015150947804831305,0.00354313951538825,0.3215954013251472,0.3119710563295204
0,1,U,raw,0,0.018027628916642644,0.049050795592817824,0.006070724289105965,3.8091833466586334e-05,0.0264344148091126,0.005931385525426109,0.028246351270636738,0.055479921651194114,0.0,0.01259392905153,0.034232482038638455,0.06583428595554876,0.015980419726708005,0.00379958668175762,0.31784153195767745,0.3121599775075561
0,1,U,raw,1,0.0594203001750904,0.12995512586982125,0.017648679555568935,0.00019442448596594856,0.015196917974875124,0.0066344086466196195,0.03546457469284181,0.05782288689976733,0.0,0.039879017811044436,0.03603141349824329,0.06233647877008095,0.03596270269496643,0.014306904090207503,0.3199096547928872,0.31017932137857473
0,1,U,raw,pooled,0.020028614355722067,0.04658577109899617,0.006339895459328969,4.214689613449238e-05,0.023060961219535072,0.0055036735335683325,0.028249061356004784,0.05553960828056431,0.0,0.014534992081553703,0.03397477127583463,0.06536778719772973,0.015150947804831305,0.0037384243196676697,0.3180592935371474,0.3119710563295204
