kappa,name,variant,group,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,null_centered_shape_l1,generated_repeat_level,reference_repeat_level
0,G,gap,0,0.018345609783355584,0.04904851223321071,0.008863311195400549,4.403266309747894e-05,0.021722835071941355,0.005409082695613095,0.024978161891818822,0.053321773915546995,0.0,0.012513680067471762,0.03429742865475946,0.06534540242398022,0.015980419726708005,0.004390486597601147,0.3207631713990835,0.3121599775075561
0,G,gap,1,0.055816655026380495,0.1275896402222226,0.01491779774448965,0.00027016649050390774,0.009191888496973078,0.006456124894342236,0.03392894268196208,0.055217931862151536,0.0,0.03674434921540565,0.0360064526501045,0.061919247799965965,0.03596270269496643,0.012069505996038935,0.31993101294850107,0.31017932137857473
0,G,gap,pooled,0.019765217375463946,0.04693050681263115,0.008991135312604745,3.5089798213678154e-05,0.019291203073566483,0.0050215767137327194,0.025208243905590826,0.05327897288220235,0.0,0.014480114917384712,0.03415290107519729,0.06488009687328872,0.015150947804831307,0.003565569824243128,0.32069503108842107,0.3119710563295204
0,G,raw,0,0.018389423230038893,0.04925504871414549,0.006849279016924625,3.802194240207507e-05,0.02157069151120142,0.005407545218231929,0.025025808165880212,0.053363814935998226,0.0,0.012425090272857443,0.03428284452755756,0.06536076296365437,0.015980419726708005,0.004001954767285669,0.31501056566476493,0.3121599775075561
0,G,raw,1,0.05569285825199853,0.1281502669189902,0.016323492319689506,0.0002440319024777372,0.009805928594384287,0.006430963623445392,0.03395163694485242,0.055181866080370484,0.0,0.036082671440258694,0.036100114864350365,0.06190391006473847,0.03596270269496643,0.012121126420894367,0.315882595236206,0.31017932137857473
0,G,raw,pooled,0.019506447049887417,0.046739729360393945,0.007009436816215246,3.154123306351663e-05,0.019143245563369177,0.005016014951899777,0.02526750695768542,0.053313874402779564,0.0,0.013948590608632076,0.03414211376972258,0.06489240187232957,0.015150947804831307,0.003454916869521923,0.3151190468567502,0.3119710563295204
0,U,direct,0,0.01625817930212582,0.04671102333338105,0.008130882028020231,3.383978943598506e-05,0.022738737459190805,0.005392666307959804,0.025513796279078696,0.05342930432677337,0.0,0.008924644454953033,0.03425835659108779,0.06540700600927651,0.015980419726708005,0.004133357579619008,0.3199248895417734,0.3121599775075561
0,U,direct,1,0.04785948269320684,0.12277809721482089,0.008871525311235555,0.00013652878454443673,0.008804609512858816,0.0062473241117083364,0.03356583447571662,0.05549562836231615,0.0,0.025506369766753995,0.03571552611703408,0.06167674517449698,0.03596270269496643,0.008330818461225452,0.31455224019615863,0.31017932137857473
0,U,direct,pooled,0.016011676635516663,0.04393587820013876,0.007826580623036705,3.130705581166564e-05,0.020249993345229825,0.0049980269133577705,0.025673105666223734,0.05336928760161151,0.0,0.009196910928281359,0.034077590940417464,0.06489796930718567,0.015150947804831307,0.003760774918003083,0.31938192728193937,0.3119710563295204
0,U,gap,0,0.01831191346309981,0.04891233013821276,0.008900158813597039,4.833111073352293e-05,0.02221149905670561,0.005392278926248837,0.025054925333362163,0.0533038303049566,0.0,0.012623671314280957,0.034243325024029096,0.06533519639400501,0.015980419726708005,0.0045256972690920615,0.32065209108269466,0.3121599775075561
0,U,gap,1,0.0558025713867553,0.1281359453797073,0.015952668781704163,0.0003357747762194375,0.011008363567423211,0.0063357657582181716,0.03345236316126491,0.05486477925226105,0.0,0.036369767031806215,0.03614717516123084,0.06187364202581199,0.03596270269496643,0.012845782886298429,0.3214120277596797,0.31017932137857473
0,U,gap,pooled,0.01985772257324086,0.04683499122947756,0.009091734166446762,4.091527141354459e-05,0.019714225903678644,0.005012996664307429,0.02522483756017731,0.05321297529431579,0.0,0.014551787654737587,0.034105533048556104,0.06486658438651594,0.015150947804831307,0.0038290840377158456,0.32075021402616866,0.3119710563295204
0,U,raw,0,0.018195263789602366,0.049178678074556906,0.006473580519829684,4.4419471655869386e-05,0.022024965920503285,0.0053776129792024825,0.025076101455167196,0.053319295782548425,0.0,0.012441213670382253,0.03422462647278046,0.06534974450734601,0.015980419726708005,0.004223773485391664,0.31511568391777317,0.3121599775075561
0,U,raw,1,0.05575084299858606,0.12850532964584815,0.016960371175168285,0.0002899299983433036,0.011353376580820303,0.006435384928527656,0.03372469431594901,0.055087545363174006,0.0,0.03613667965936455,0.03607169533441605,0.061885353430697204,0.03596270269496643,0.012811252218883396,0.3162520976378565,0.31017932137857473
0,U,raw,pooled,0.01965059460846012,0.0468318026064918,0.00658162322541231,4.008597011080495e-05,0.019502757131316995,0.004988625480672182,0.02527698904602056,0.05324478741306732,0.0,0.014422139483716678,0.034090890637947444,0.06488131466819598,0.015150947804831307,0.003918324566662073,0.3152489294630434,0.3119710563295204
1,C,direct,0,0.016041620362801594,0.04811763302660948,0.0033324310816371778,1.681601417247081e-05,0.013458283857266481,0.005373908774641958,0.0227007793552582,0.05160320863481415,0.0,0.008721023360237185,0.03265952379262012,0.06429945959642455,0.015980419726708005,0.0027755656042595133,0.3192112050624436,0.3174738173894708
1,C,direct,1,0.05322412956764136,0.11595691673385389,0.01701622085711756,0.006154115811214236,0.014649439885854095,0.01083836132340647,0.027947911376230213,0.05406790226488242,0.0,0.03294447471138271,0.04783317752596908,0.0697714833581572,0.03596270269496643,0.015862454690201665,0.32508849309752863,0.32024531697886804
1,C,direct,pooled,0.015404656280414505,0.04588423390992249,0.004089212541993272,0.00012234612847231944,0.011046554692315214,0.0058336446231673535,0.02265438245051339,0.05151654770545284,0.0,0.008545542201186827,0.033853045127201394,0.06462772202979766,0.015150947804831307,0.0031967985390447358,0.31998701110650407,0.317738171690903
1,C,gap,0,0.017838253368238827,0.0499916888953719,0.00483627118277669,5.7854248314231365e-05,0.014494060148732826,0.005384271695332563,0.022224316614644517,0.051421695373214255,0.0,0.01134920974275886,0.03286294988405383,0.06443882490624961,0.015980419726708005,0.004306886359781686,0.3189960847331622,0.3174738173894708
1,C,gap,1,0.05676539882011611,0.12540773620780007,0.039240685901364154,0.03096819198794954,0.015593281913423641,0.010854189662029577,0.027885819473569842,0.0536907873845813,0.0,0.036486803823262956,0.048193269360777,0.06958326010777206,0.03596270269496643,0.036181012042333364,0.30380877303859494,0.32024531697886804
1,C,gap,pooled,0.0163428272390492,0.047261856659350454,0.0036224271798477206,0.0001741217942108213,0.011587403777715811,0.005845487827462898,0.02231177277227335,0.051414318223160116,0.0,0.01050499929220013,0.034025286217489466,0.06474328668870502,0.015150947804831307,0.003483052577217471,0.3174525693772254,0.317738171690903
1,C,raw,0,0.01774153943847979,0.05017393571995495,0.006074367292929446,8.048127181839833e-05,0.014537244949744732,0.0054049909546866354,0.022256080797352095,0.05142941663052188,0.0,0.011234760070055198,0.03288380990532238,0.06444113213771972,0.015980419726708005,0.004951450018380026,0.31741729974880367,0.3174738173894708
1,C,raw,1,0.05550697709790456,0.12818180604962542,0.05530489560678672,0.044996878597066164,0.01469436156515382,0.010956355862625505,0.027999290788021554,0.05352070340101071,0.0,0.034968081367531094,0.04829730762040943,0.06960847256502938,0.03596270269496643,0.05314843760404088,0.30801968963762916,0.32024531697886804
1,C,raw,pooled,0.016155470902987593,0.04738291748976464,0.004833315071882609,0.00016055923344283758,0.011739004472399372,0.005874590939301945,0.02230703172810579,0.05140314476189098,0.0,0.010355715798613696,0.03404315048349913,0.06474898010970982,0.015150947804831307,0.0033875264625145094,0.3164742902894967,0.317738171690903
1,G,direct,0,0.016088632341426688,0.04796849379728054,0.003176553248782522,1.3819774652781177e-05,0.014750049018885346,0.005512571688686613,0.02204984837490444,0.05140578977731313,0.0,0.008528843226811016,0.03271338861906833,0.0641920158201959,0.015980419726708005,0.0026184364537475296,0.31907877168426985,0.3174738173894708
1,G,direct,1,0.05337365723995768,0.11569587454210689,0.017359497499997753,0.006219739666993882,0.010715181195057393,0.010988036033908917,0.028050632378562805,0.053967160928398615,0.0,0.03333408896501878,0.04768379580909443,0.06967224521745341,0.03596270269496643,0.016016465664398603,0.32623480387335696,0.32024531697886804
1,G,direct,pooled,0.015379263060470875,0.045807655539609,0.004226346274285046,0.0001356906362669895,0.012510769306199097,0.005973402538038763,0.022066361342542005,0.05130355621909916,0.0,0.008409062137845029,0.03390994439476403,0.06451752415781477,0.015150947804831307,0.0033046498862026523,0.3200215090356709,0.317738171690903
1,G,gap,0,0.01828323275873118,0.05012139542264114,0.004455657048618217,4.8704130610792045e-05,0.015513317316493925,0.005570061785230136,0.02164503068201547,0.051216153303708906,0.0,0.011631999624639776,0.032863943281851354,0.06428947307975522,0.015980419726708005,0.004077675588288515,0.3193085132040314,0.3174738173894708
1,G,gap,1,0.05501546853823569,0.12113097630447855,0.026149524379337947,0.020906873642733477,0.013281082971678364,0.011108234677247157,0.027913441088918942,0.053475029929914236,0.0,0.034630733490843627,0.04829169872197959,0.06957262506885208,0.03596270269496643,0.025068086755212257,0.31071626029222027,0.32024531697886804
