kappa,source,group,dimension,bin,metric,mean,q05,q95,minimum,maximum,adequate_all,min_entities,triplet_0,triplet_1,triplet_2,triplet_3,triplet_4,triplet_5,triplet_6,triplet_7,triplet_8,triplet_9
0,JOINT_BIN,1,history,1-4,occupancy,0.17483660130718953,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,True,214,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895
0,JOINT_BIN,1,history,1-4,law_residual,-0.0015404839020856467,-0.013354662598605202,0.0059988530893220135,-0.021238198429233968,0.0067778020177349,True,214,0.003538736739833733,-0.0037192299167256005,-0.021238198429233968,-0.002262761738396767,-0.002196021824177367,-0.003256949724699701,6.1442548814999035e-06,0.0018988352008872,0.0067778020177349,0.005046804399039601
0,JOINT_BIN,1,history,5-8,continuation,0.31526479750778813,0.30327102803738315,0.32834890965732083,0.3025700934579439,0.32904984423676004,True,214,0.32904984423676004,0.3274922118380062,0.3251557632398754,0.3025700934579439,0.30412772585669784,0.31113707165109034,0.31191588785046725,0.3119158878504673,0.30724299065420557,0.32204049844236754
0,JOINT_BIN,1,history,5-8,occupancy,0.17483660130718953,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,True,214,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895,0.1748366013071895
0,JOINT_BIN,1,history,5-8,law_residual,0.0013187028730608133,-0.00916899200291917,0.013988636177957306,-0.010407552331771298,0.017321849561779533,True,214,0.0040072840829895,0.009914708708841266,0.017321849561779533,-0.005529409623598834,-0.007655196045433232,0.004290502343980666,0.0023127650303556,-0.002908427273826867,-0.010407552331771298,0.0018405042772917997
0,JOINT_BIN,1,history,9-16,continuation,0.31772673733804474,0.3072536317235963,0.33474676089517075,0.30663525716529244,0.3404004711425206,True,214,0.3219473890851982,0.3278366705928543,0.3404004711425206,0.3080094228504122,0.31330977620730266,0.3154691794267766,0.31782489202983893,0.30663525716529244,0.31252453867294855,0.31330977620730266
0,JOINT_BIN,1,history,9-16,occupancy,0.346813725490196,0.346813725490196,0.346813725490196,0.346813725490196,0.346813725490196,True,214,0.346813725490196,0.346813725490196,0.346813725490196,0.346813725490196,0.346813725490196,0.346813725490196,0.346813725490196,0.346813725490196,0.346813725490196,0.346813725490196
0,JOINT_BIN,1,history,9-16,law_residual,0.0006689303761120469,-0.00332173805775418,0.006845234785656357,-0.0044022009945637,0.006885080141433567,True,214,0.0021812024678007,0.006796534906373101,0.006885080141433567,-0.0044022009945637,-0.0013782364973678662,-0.0005064265916767001,-0.0015730976325073335,-0.0020011722460981005,0.0009996353042887,-0.00031201509656189993
0,JOINT_BIN,1,history,17-31,continuation,0.3123822341857335,0.29918124719605205,0.3298564378645132,0.29564827276805744,0.3349035441902198,True,182,0.3048452220726783,0.32368775235531627,0.31606101390758184,0.31987438313144906,0.3061911170928667,0.30798564378645127,0.3034993270524899,0.3349035441902198,0.29564827276805744,0.3111260655002243
0,JOINT_BIN,1,history,17-31,occupancy,0.3035130718954248,0.3035130718954248,0.3035130718954248,0.3035130718954248,0.3035130718954248,True,182,0.3035130718954248,0.3035130718954248,0.3035130718954248,0.3035130718954248,0.3035130718954248,0.3035130718954248,0.3035130718954248,0.3035130718954248,0.3035130718954248,0.3035130718954248
