trial,kappa,source,group,dimension,bin,continuation,occupancy,law_residual,adequate,min_entities
0,0,G,0,history,17-31,0.3208480565371024,0.3033876500857633,0.003937984648229167,True,1605
0,0,G,0,run,1,0.16748636828294713,0.6972635156597421,0.0041945251413994,True,1834
0,0,G,0,run,2-3,0.6153809364093381,0.17185216949367887,-0.01926936422108763,True,1788
0,0,G,0,run,4-7,0.7265095146649406,0.10530620672130099,0.013824298028718165,True,1307
0,0,G,0,run,8+,0.6946135565540833,0.02557810812527787,0.006089272113668667,True,336
0,0,G,1,all,all,0.31522331154684097,1.0,-4.44222277726332e-05,True,214
0,0,G,1,history,1-4,0.3317757009345794,0.1748366013071895,0.0081470451299879,True,214
0,0,G,1,history,5-8,0.31269470404984423,0.1748366013071895,-0.003978603824437333,True,214
0,0,G,1,history,9-16,0.306831566548881,0.346813725490196,-0.0030295637152881,True,214
0,0,G,1,history,17-31,0.316733961417676,0.3035130718954248,0.0009142141344771998,True,182
0,0,G,1,run,1,0.16596198911805693,0.6984613289760349,0.0026201513794098332,True,214
0,0,G,1,run,2-3,0.6132116815508167,0.17163671023965135,-0.0235385805351807,True,206
0,0,G,1,run,4-7,0.7338602896957366,0.10273692810457509,0.021072904471374998,True,149
0,0,G,1,run,8+,0.6857865987760566,0.02716503267973853,-0.0014747268281191338,False,36
1,0,U,0,all,all,0.31761006289308175,1.0,0.0018179217131759665,True,1834
1,0,U,0,history,1-4,0.3131588513267902,0.17476653325709926,-0.0017264167359949667,True,1834
1,0,U,0,history,5-8,0.3218375136314067,0.17476653325709926,0.0050595764493003,True,1834
1,0,U,0,history,9-16,0.31955979591369804,0.3470792834000381,0.0021892790757530667,True,1834
1,0,U,0,history,17-31,0.3155084413034943,0.3033876500857633,0.001567445254873902,True,1605
1,0,U,0,run,1,0.16813584151492342,0.6961835334476844,0.005320935417999967,True,1834
1,0,U,0,run,2-3,0.6218143629063654,0.1730433263452131,-0.012599449441098034,True,1791
1,0,U,0,run,4-7,0.7194572702257456,0.10698176735912579,0.006399937653752533,True,1351
1,0,U,0,run,8+,0.6715192325781146,0.023791372847976566,-0.016883846796161398,True,349
1,0,U,1,all,all,0.31413398692810457,1.0,0.00012595165556673343,True,214
1,0,U,1,history,1-4,0.33489096573208726,0.1748366013071895,0.0105492179499679,True,214
1,0,U,1,history,5-8,0.3177570093457944,0.1748366013071895,-0.0015320316863749,True,214
1,0,U,1,history,9-16,0.3182175107970161,0.346813725490196,0.0023385884479755997,True,214
1,0,U,1,history,17-31,0.29542395693135937,0.3035130718954248,-0.007451531171361633,True,182
1,0,U,1,run,1,0.16740246251269886,0.6990740740740741,0.0049821429916235,True,214
1,0,U,1,run,2-3,0.6217613692144288,0.17340686274509798,-0.012941070644662933,True,210
1,0,U,1,run,4-7,0.7098294302693078,0.1049836601307189,-0.0039819436157636666,True,148
1,0,U,1,run,8+,0.6428770102683147,0.0225354030501089,-0.043812290989478364,False,35
1,0,G,0,all,all,0.31714948224382183,1.0,0.0016871425814457667,True,1834
1,0,G,0,history,1-4,0.31361323155216286,0.17476653325709926,-0.0014355158186519,True,1834
1,0,G,0,history,5-8,0.3238367866230461,0.17476653325709926,0.0062919627626641,True,1834
1,0,G,0,history,9-16,0.3170201569542636,0.3470792834000381,0.0009343688073443665,True,1834
1,0,G,0,history,17-31,0.31548226671901586,0.3033876500857633,0.0016945255644518667,True,1605
1,0,G,0,run,1,0.1683605925516275,0.696810876056159,0.005498128295122133,True,1834
1,0,G,0,run,2-3,0.6206334287913079,0.17308303157359753,-0.0137666741229043,True,1789
1,0,G,0,run,4-7,0.7183947249879972,0.10625913220252836,0.005411039089063066,True,1335
1,0,G,0,run,8+,0.6740104673439866,0.023846960167714867,-0.014275164287955102,True,347
1,0,G,1,all,all,0.3146105664488017,1.0,0.00015292644186536649,True,214
1,0,G,1,history,1-4,0.3333333333333333,0.1748366013071895,0.010202090707809234,True,214
1,0,G,1,history,5-8,0.3200934579439252,0.1748366013071895,-0.0016211159592226,True,214
1,0,G,1,history,9-16,0.3121319199057715,0.346813725490196,-0.0014437545231595333,True,214
1,0,G,1,history,17-31,0.3034993270524899,0.3035130718954248,-0.0027894288997929663,True,182
1,0,G,1,run,1,0.16706574584397546,0.698529411764706,0.004601048939492267,True,214
1,0,G,1,run,2-3,0.6190023807062558,0.17381535947712415,-0.017052776662237434,True,208
1,0,G,1,run,4-7,0.7184945447543853,0.10334967320261434,0.0049164632573197664,True,150
1,0,G,1,run,8+,0.6589847314067937,0.0243055555555555,-0.027244513939441235,False,37
2,0,U,0,all,all,0.31757035766469727,1.0,0.0018915258657087894,True,1834
2,0,U,0,history,1-4,0.30198109778262444,0.17476653325709926,-0.005958744020915434,True,1834
2,0,U,0,history,5-8,0.3303344238458742,0.17476653325709926,0.0080270669829182,True,1834
2,0,U,0,history,9-16,0.319948749628206,0.3470792834000381,0.0021253943447773,True,1834
2,0,U,0,history,17-31,0.3164769009291977,0.3033876500857633,0.0026117473326014336,True,1605
2,0,U,0,run,1,0.1664576341437512,0.6963344133155455,0.0033277034420073,True,1834
2,0,U,0,run,2-3,0.6212029032323355,0.17125659106791177,-0.011287935734979535,True,1785
2,0,U,0,run,4-7,0.7284299699367782,0.1063861889333587,0.015391337295927768,True,1332
2,0,U,0,run,8+,0.6833065106199375,0.026022806683184,-0.0049138382229453334,True,364
2,0,U,1,all,all,0.3191721132897603,1.0,0.0028738023273861004,True,214
2,0,U,1,history,1-4,0.338006230529595,0.1748366013071895,0.014277871231251599,True,214
2,0,U,1,history,5-8,0.3263239875389408,0.1748366013071895,0.0021473205982797667,True,214
2,0,U,1,history,9-16,0.3144876325088339,0.346813725490196,0.0003790392497990001,True,214
2,0,U,1,history,17-31,0.30955585464333785,0.3035130718954248,-0.00042626962136963365,True,182
2,0,U,1,run,1,0.16963639501763836,0.6947167755991286,0.006687477363139067,True,214
2,0,U,1,run,2-3,0.6082847720646222,0.17293028322440085,-0.024685574758617334,True,206
2,0,U,1,run,4-7,0.7397121704814014,0.10600490196078427,0.02709588483890257,True,152
2,0,U,1,run,8+,0.6642329575112225,0.026348039215686264,-0.022911866623995,False,39
2,0,G,0,all,all,0.3180865256336954,1.0,0.0022028853884662,True,1834
2,0,G,0,history,1-4,0.3018902217375499,0.17476653325709926,-0.005832785775506433,True,1834
2,0,G,0,history,5-8,0.32978916757542703,0.17476653325709926,0.007697915389633767,True,1834
2,0,G,0,history,9-16,0.3201546663005926,0.3470792834000381,0.002481001547257533,True,1834
2,0,G,0,history,17-31,0.3183091218426907,0.3033876500857633,0.0033482539988242336,True,1605
2,0,G,0,run,1,0.16792812879751448,0.6960008893971158,0.004726074868174433,True,1834
2,0,G,0,run,2-3,0.6176177416852698,0.1723286322342926,-0.015106374782795267,True,1784
2,0,G,0,run,4-7,0.7280628504487074,0.10600501874086776,0.014909965264698335,True,1343
2,0,G,0,run,8+,0.6856375508331878,0.025665459627723736,-0.002461919496326567,True,363
2,0,G,1,all,all,0.3199210239651416,1.0,0.0034540844311658665,True,214
2,0,G,1,history,1-4,0.338006230529595,0.1748366013071895,0.01428521257868,True,214
2,0,G,1,history,5-8,0.32320872274143303,0.1748366013071895,-0.0007687804858166669,True,214
2,0,G,1,history,9-16,0.31802120141342755,0.346813725490196,0.0025435722704076,True,214
2,0,G,1,history,17-31,0.30978017048003587,0.3035130718954248,0.0006878504632201668,True,182
2,0,G,1,run,1,0.17036868043945688,0.6941040305010894,0.007831817177043033,True,214
2,0,G,1,run,2-3,0.609109979157102,0.17408769063180826,-0.024736966389915068,True,204
2,0,G,1,run,4-7,0.7388944657547198,0.10566448801742913,0.02566683092552187,True,151
2,0,G,1,run,8+,0.6670931469660283,0.026143790849673134,-0.0199842253954917,False,40
0,1,U,0,all,all,0.3153468648751667,1.0,0.0008695704436568666,True,1834
0,1,U,0,history,1-4,0.3114322064703744,0.17476653325709926,-0.0022362882380996,True,1834
0,1,U,0,history,5-8,0.3214285714285714,0.17476653325709926,0.0040041888733024,True,1834
0,1,U,0,history,9-16,0.31395428649873014,0.3470792834000381,1.907561357783327e-05,True,1834
0,1,U,0,history,17-31,0.3156916633948436,0.3033876500857633,0.0018259801546035997,True,1605
0,1,U,0,run,1,0.16705503198253224,0.6987564322469982,0.004136958681112967,True,1834
0,1,U,0,run,2-3,0.6189727305695952,0.17177275903690994,-0.0150281397587569,True,1794
0,1,U,0,run,4-7,0.7238953854107759,0.10575090527920711,0.0107540895846727,True,1325
0,1,U,0,run,8+,0.6633146636267735,0.023719903436884533,-0.024608224326627463,True,361
0,1,U,1,all,all,0.3078022875816993,1.0,0.010226511351270668,True,214
0,1,U,1,history,1-4,0.33683800623052956,0.1748366013071895,0.017628270798943167,True,214
0,1,U,1,history,5-8,0.2932242990654206,0.1748366013071895,0.003948762556371733,True,214
0,1,U,1,history,9-16,0.3009422850412249,0.346813725490196,0.010665682268087567,True,214
0,1,U,1,history,17-31,0.30731269627635704,0.3035130718954248,0.009077207626150099,True,182
0,1,U,1,run,1,0.19945388864084568,0.7061546840958606,0.0260606481297475,True,214
0,1,U,1,run,2-3,0.5359216610834008,0.19893790849673199,-0.0371539565029621,True,212
0,1,U,1,run,4-7,0.6454804633717894,0.08428649237472763,0.0011585964332639332,True,140
0,1,U,1,run,8+,0.5531261312246033,0.010620915032679666,-0.08798676938161014,False,21
0,1,G,0,all,all,0.3164665523156089,1.0,0.001340126669500833,True,1834
0,1,G,0,history,1-4,0.3112050163576881,0.17476653325709926,-0.002030246746714867,True,1834
0,1,G,0,history,5-8,0.3227008360596147,0.17476653325709926,0.004144894765214867,True,1834
0,1,G,0,history,9-16,0.31571601802914867,0.3470792834000381,0.0010906629714378,True,1834
0,1,G,0,history,17-31,0.3167648213584609,0.3033876500857633,0.0019513333635159,True,1605
0,1,G,0,run,1,0.1681000832992743,0.6975176291214028,0.005226875626150433,True,1834
0,1,G,0,run,2-3,0.6167821627417683,0.17264627406136843,-0.017792187283863333,True,1792
0,1,G,0,run,4-7,0.7241686782798449,0.10581443364462227,0.0112714384865497,True,1327
0,1,G,0,run,8+,0.6691772827724427,0.024021663172606535,-0.018875246916077934,True,354
0,1,G,1,all,all,0.31025326797385616,1.0,0.014043717049024967,True,214
0,1,G,1,history,1-4,0.3372274143302181,0.1748366013071895,0.0184801985425878,True,214
0,1,G,1,history,5-8,0.3017912772585669,0.1748366013071895,0.012466861150225902,True,214
0,1,G,1,history,9-16,0.3011385944248135,0.346813725490196,0.012721468736677635,True,214
0,1,G,1,history,17-31,0.31000448631673394,0.3035130718954248,0.013907336245019634,True,182
0,1,G,1,run,1,0.19980012926753732,0.7039079520697168,0.026891409642293865,True,214
0,1,G,1,run,2-3,0.5446201643881131,0.20043572984749455,-0.0207196834807775,True,212
0,1,G,1,run,4-7,0.6428204814723258,0.0859204793028322,0.0016768096397581334,True,139
0,1,G,1,run,8+,0.5375405844155844,0.0097358387799564,-0.0820473804679746,False,18
1,1,U,0,all,all,0.31700654342163775,1.0,0.0016393920926226666,True,1834
1,1,U,0,history,1-4,0.31479462013813153,0.17476653325709926,-0.00033027483993726663,True,1834
1,1,U,0,history,5-8,0.32310977826244996,0.17476653325709926,0.004915392530562067,True,1834
1,1,U,0,history,9-16,0.31793534216487057,0.3470792834000381,0.0017755943190087334,True,1834
1,1,U,0,history,17-31,0.31370239497447977,0.3033876500857633,0.0007310612852663333,True,1605
1,1,U,0,run,1,0.16917928648058245,0.6969538148783432,0.006251057101403866,True,1834
1,1,U,0,run,2-3,0.6180102560000561,0.17385331300425635,-0.016301232316275168,True,1790
1,1,U,0,run,4-7,0.7185355087551258,0.10566355377676127,0.005463986512883534,True,1334
1,1,U,0,run,8+,0.6686272541537918,0.023529318340639035,-0.019470698652729566,True,340
1,1,U,1,all,all,0.31025326797385616,1.0,0.013116845268657501,True,214
1,1,U,1,history,1-4,0.31697819314641745,0.1748366013071895,0.0059863833179748666,True,214
1,1,U,1,history,5-8,0.2893302180685358,0.1748366013071895,0.007276357439851434,True,214
1,1,U,1,history,9-16,0.31252453867294855,0.346813725490196,0.016909421681304868,True,214
1,1,U,1,history,17-31,0.31583669807088377,0.3035130718954248,0.016255027141179032,True,182
1,1,U,1,run,1,0.19985234582082678,0.7038398692810457,0.026183182200991462,True,214
1,1,U,1,run,2-3,0.5447295338518545,0.20043572984749455,-0.028132155159593733,True,211
1,1,U,1,run,4-7,0.6419308107858528,0.08510348583877991,0.009787621203187933,True,138
1,1,U,1,run,8+,0.5486162773396815,0.010620915032679666,-0.05000722902325903,False,23
1,1,G,0,all,all,0.31537862905787434,1.0,0.0007272244135631999,True,1834
1,1,G,0,history,1-4,0.3116139585605235,0.17476653325709926,-0.0024208415137614,True,1834
1,1,G,0,history,5-8,0.3200654307524536,0.17476653325709926,0.003624517564340367,True,1834
1,1,G,0,history,9-16,0.31603633285286103,0.3470792834000381,0.00047665910203403334,True,1834
1,1,G,0,history,17-31,0.3140950137416568,0.3033876500857633,0.0011583319999330668,True,1605
1,1,G,0,run,1,0.1682009547750435,0.6983117336890922,0.0053087851171356336,True,1834
1,1,G,0,run,2-3,0.616705308981973,0.17333714503525818,-0.0176042414840182,True,1792
1,1,G,0,run,4-7,0.7182311653025399,0.10485356711771804,0.005011731018505133,True,1331
1,1,G,0,run,8+,0.6684332262927852,0.0234975541579315,-0.019703047601076766,True,326
1,1,G,1,all,all,0.3117510893246187,1.0,0.0144733570488299,True,214
1,1,G,1,history,1-4,0.3177570093457944,0.1748366013071895,0.006844595742417133,True,214
1,1,G,1,history,5-8,0.28543613707165105,0.1748366013071895,0.0018037817151080667,True,214
1,1,G,1,history,9-16,0.3121319199057715,0.346813725490196,0.017167354649466733,True,214
1,1,G,1,history,17-31,0.3230148048452221,0.3035130718954248,0.023087736751436837,True,182
1,1,G,1,run,1,0.20048421221368443,0.7030228758169934,0.027163727074417467,True,214
1,1,G,1,run,2-3,0.5500418058205024,0.20186546840958605,-0.0231229585439874,True,211
1,1,G,1,run,4-7,0.6390017825787617,0.08496732026143787,0.008916963065682534,True,139
1,1,G,1,run,8+,0.528333214311219,0.010144335511982534,-0.08474578810055544,False,21
2,1,U,0,all,all,0.31745124197954383,1.0,0.0017817853090469668,True,1834
2,1,U,0,history,1-4,0.31088695019992724,0.17476653325709926,-0.0023504411092668998,True,1834
2,1,U,0,history,5-8,0.32374591057797164,0.17476653325709926,0.005298644283000367,True,1834
2,1,U,0,history,9-16,0.320726657057222,0.3470792834000381,0.0029632370787022,True,1834
2,1,U,0,history,17-31,0.3138594424813506,0.3033876500857633,0.0007846722144039332,True,1605
2,1,U,0,run,1,0.16763498217036568,0.6964614700463757,0.004769655734830167,True,1834
2,1,U,0,run,2-3,0.6174267872710232,0.17194746204180164,-0.016814566163542568,True,1793
2,1,U,0,run,4-7,0.7280256257812189,0.10578266946191472,0.0149986417120809,True,1318
2,1,U,0,run,8+,0.678503907326974,0.025808398449907833,-0.009566326570875,True,350
2,1,U,1,all,all,0.31447440087145967,1.0,0.0128193348809156,True,214
2,1,U,1,history,1-4,0.32710280373831774,0.1748366013071895,0.0124046201748241,True,214
2,1,U,1,history,5-8,0.29127725856697817,0.1748366013071895,0.0011482860259192668,True,214
2,1,U,1,history,9-16,0.3087946603847664,0.346813725490196,0.012395809784980533,True,214
2,1,U,1,history,17-31,0.32705248990578734,0.3035130718954248,0.020265202459104698,True,182
2,1,U,1,run,1,0.20012739071510044,0.6999591503267973,0.025740982445923533,True,214
2,1,U,1,run,2-3,0.5436697746492271,0.19846132897603483,-0.0333769787885083,True,211
2,1,U,1,run,4-7,0.6569818891522026,0.08898420479302827,0.015977118081101135,True,144
2,1,U,1,run,8+,0.6119298245614035,0.012595315904139365,-0.01867519551921213,False,19
2,1,G,0,all,all,0.31811034877072614,1.0,0.002105825948789,True,1834
2,1,G,0,history,1-4,0.3116593965830607,0.17476653325709926,-0.0018564061801441666,True,1834
2,1,G,0,history,5-8,0.32161032351872043,0.17476653325709926,0.003949317694584,True,1834
2,1,G,0,history,9-16,0.32004026814926667,0.3470792834000381,0.0026086298776988,True,1834
2,1,G,0,history,17-31,0.31760240806177203,0.3033876500857633,0.0027511128754019,True,1605
2,1,G,0,run,1,0.16872878721818163,0.6958658916206085,0.005723946794396834,True,1834
2,1,G,0,run,2-3,0.6182448042519985,0.17336096817228888,-0.0159988661171563,True,1795
2,1,G,0,run,4-7,0.7240150460286592,0.10587002096436056,0.011027117048462633,True,1326
2,1,G,0,run,8+,0.676607440015022,0.0249031192427418,-0.0115518395778731,True,350
2,1,G,1,all,all,0.31535947712418294,1.0,0.014530062712419864,True,214
2,1,G,1,history,1-4,0.3259345794392523,0.1748366013071895,0.010840211936775401,True,214
2,1,G,1,history,5-8,0.29711838006230523,0.1748366013071895,0.007241626879379733,True,214
2,1,G,1,history,9-16,0.30918727915194344,0.346813725490196,0.013405357960931731,True,214
2,1,G,1,history,17-31,0.32682817406908926,0.3035130718954248,0.02213918922995747,True,182
2,1,G,1,run,1,0.20378045957185575,0.6998229847494554,0.028986660596371033,True,214
2,1,G,1,run,2-3,0.5361492116572949,0.2001633986928104,-0.03634339824591597,True,209
2,1,G,1,run,4-7,0.6631606322755504,0.08721405228758163,0.020315719753953333,True,139
2,1,G,1,run,8+,0.5789984741295603,0.012799564270152467,-0.031023777825095734,False,23
